PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.92,0.85,0.93,0.94,1,1,1.89597928466778
0.91,0.84,0.96,0.86,1,1,2.13029539560405
0.93,0.84,0.94,0.94,1,1,1.93928808799884
0.93,0.85,0.98,0.87,1,0.98,2.13052135327617
0.92,0.89,0.94,0.87,1,1,2.00083188458518
0.94,0.91,0.98,0.88,1,1,2.05196864798025
0.92,0.86,0.93,0.89,1,0.98,1.95999042839891
0.9,0.9,0.95,0.93,1,1,1.86749046913144
0.88,0.85,0.96,0.9,0.98,1,2.01055833137014
0.93,0.9,0.93,0.93,1,1,1.86038076058603
0.93,0.9,0.92,0.89,1,0.98,1.89617383697867
0.93,0.92,0.99,0.93,0.98,1,1.96373691559123
0.91,0.88,0.97,0.93,1,1,1.94184264867979
0.92,0.81,0.95,0.93,0.98,1,2.02896297834371
0.96,0.84,0.98,0.9,1,1,2.13554649148035
0.92,0.93,0.93,0.85,1,1,1.96483051677208
0.97,0.91,0.96,0.85,1,1,2.10960941569178
0.9,0.86,0.97,0.94,1,0.98,1.9182787941799
0.92,0.87,1,0.88,1,1,2.13057976543803
0.98,0.87,0.96,0.93,1,0.98,1.98759452754518
0.9,0.88,0.96,0.92,1,1,1.93164671005959
0.89,0.84,0.97,0.93,1,1,1.975631039632
0.92,0.85,0.98,0.87,1,1,2.14405609232928
0.91,0.8,0.94,0.88,0.98,0.98,2.09969509677876
0.87,0.88,0.97,0.9,1,1,1.95910765829815
0.94,0.89,0.96,0.86,1,1,2.085053476374
0.97,0.84,0.97,0.97,1,1,1.97949906385258
0.92,0.85,0.92,0.88,1,1,1.99755909567296
0.9,0.85,0.93,0.91,0.98,1,1.95140554255738
0.96,0.89,0.93,0.89,1,1,1.9825568710628
0.87,0.86,0.96,0.88,1,1,2.00929812026805
0.92,0.8,0.95,0.92,1,1,2.04729380375757
0.93,0.88,0.94,0.94,1,0.98,1.86656253311408
0.9,0.85,0.92,0.93,1,1,1.87463765942304
0.89,0.83,0.95,0.88,1,1,2.05640295365572
0.93,0.87,0.94,0.91,1,1,1.95773623635436
0.94,0.83,0.98,0.92,1,1,2.08468547401605
0.89,0.78,0.96,0.85,1,1,2.23448847071816
0.93,0.83,0.95,0.87,1,1,2.1247707341814
0.94,0.86,0.95,0.89,1,1,2.04444388002396
0.94,0.89,0.95,0.93,1,1,1.92138765117759
0.95,0.87,0.97,0.91,1,1,2.03796631193023
0.93,0.88,0.96,0.92,1,0.98,1.94201912325506
0.94,0.81,0.97,0.9,1,1,2.14026393915537
0.96,0.87,0.95,0.91,1,1,2.00929193582911
0.93,0.84,0.94,0.95,1,1,1.91978461043727
0.9,0.92,0.89,0.9,1,1,1.782696042412
0.94,0.83,0.95,0.93,1,1,2.00370903569221
0.91,0.84,0.95,0.91,1,1,1.99860229758725
0.93,0.86,0.94,0.88,1,1,2.03475671582406
0.94,0.84,0.98,0.91,1,1,2.09143945824662
0.9,0.83,0.97,0.87,1,1,2.13272942800021
0.93,0.81,0.96,0.85,1,1,2.2289548161035
0.91,0.82,0.94,0.93,1,1,1.96578383434166
0.91,0.85,0.95,0.97,1,1,1.8676603906074
