PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.88,0.91,0.79,0.89,1,1,1.06318351290622
0.87,0.91,0.83,0.86,1,1,1.10002499456563
0.96,0.8,0.8,0.87,1,1,1.29722138475453
0.91,0.82,0.79,0.84,1,1,1.23360485954337
0.89,0.88,0.82,0.81,1,1,1.19482625657775
0.92,0.93,0.75,0.8,1,1,1.15091222740858
0.93,0.9,0.79,0.87,1,1,1.15085186921248
0.91,0.85,0.79,0.81,1,0.98,1.22275759451572
0.91,0.83,0.86,0.85,1,0.98,1.2468804309454
0.89,0.89,0.82,0.89,1,0.98,1.10131398764413
0.9,0.85,0.79,0.84,1,1,1.18892485239714
0.88,0.84,0.82,0.78,1,1,1.25601761802955
0.9,0.83,0.86,0.89,1,1,1.20318759175054
0.93,0.86,0.83,0.82,1,1,1.26522269583584
0.93,0.82,0.76,0.85,1,1,1.2305113450206
0.93,0.88,0.85,0.77,1,1,1.31177688666842
0.88,0.8,0.88,0.92,1,1,1.18971344642899
0.94,0.93,0.78,0.8,1,1,1.19526251629826
0.92,0.85,0.78,0.81,1,0.98,1.2297851889161
0.85,0.8,0.79,0.84,1,1,1.17200408655668
0.89,0.84,0.84,0.88,1,1,1.17770412752717
0.91,0.74,0.84,0.85,1,0.98,1.33594794668971
0.88,0.86,0.79,0.81,1,1,1.18232886384018
0.92,0.87,0.85,0.83,1,1,1.243460456859
0.91,0.85,0.84,0.86,1,1,1.2137060770096
0.93,0.79,0.79,0.86,1,0.98,1.26071665977625
0.9,0.84,0.83,0.78,1,1,1.29114115320934
0.87,0.86,0.76,0.82,1,0.98,1.12956226726597
0.85,0.9,0.77,0.83,1,1,1.07314873993948
0.89,0.85,0.89,0.85,1,1,1.22926052127496
0.87,0.88,0.75,0.85,1,1,1.08651657949852
0.86,0.87,0.83,0.81,1,1,1.17120916007018
0.83,0.86,0.84,0.89,1,1,1.07317794409038
0.87,0.8,0.86,0.83,1,1,1.25777849646005
0.87,0.88,0.8,0.9,1,1,1.07350763463884
0.87,0.87,0.82,0.83,1,1,1.15837798488132
0.91,0.8,0.78,0.79,1,1,1.30655684348958
0.93,0.79,0.8,0.84,1,1,1.3014585986906
0.89,0.85,0.84,0.88,1,1,1.16805061028806
0.93,0.81,0.75,0.83,1,1,1.25648807470119
0.93,0.84,0.75,0.9,1,1,1.15433865534759
0.94,0.88,0.77,0.87,1,1,1.16989282589676
0.93,0.8,0.82,0.78,1,1,1.37639993196281
0.91,0.76,0.82,0.85,1,1,1.31029859752596
0.94,0.79,0.82,0.84,1,1,1.32898884244888
0.93,0.81,0.83,0.81,1,0.96,1.30954799410595
0.96,0.9,0.8,0.84,1,1,1.22339161605069
0.93,0.87,0.79,0.86,1,1,1.18858462080732
0.89,0.87,0.76,0.89,1,1,1.09163261591826
0.85,0.85,0.81,0.87,1,1,1.10701332560621
0.94,0.8,0.79,0.85,1,1,1.28577868210988
0.92,0.88,0.83,0.84,1,1,1.21041183722343
0.94,0.83,0.78,0.89,1,1,1.2051488690582
0.92,0.9,0.82,0.82,1,0.98,1.19409694245367
0.89,0.83,0.82,0.91,1,1,1.1462636226812
0.87,0.83,0.79,0.89,1,1,1.12049173498572
0.93,0.79,0.78,0.83,1,1,1.29956075310949
0.94,0.88,0.82,0.82,1,1,1.25080968746064
0.88,0.86,0.81,0.91,1,1,1.10049975146959
0.95,0.82,0.83,0.79,1,1,1.37430513313382
0.91,0.82,0.83,0.81,1,1,1.29364593838071
0.95,0.85,0.83,0.8,1,1,1.32608418342392
0.92,0.78,0.8,0.88,1,1,1.25384676254416
0.93,0.87,0.76,0.89,1,1,1.14191614415868
0.87,0.75,0.83,0.89,1,1,1.22658214556126
0.89,0.79,0.85,0.86,1,1,1.25665069388848
0.88,0.82,0.75,0.89,1,1,1.11772350470243
0.89,0.89,0.77,0.79,1,0.98,1.16259406666591
0.9,0.82,0.84,0.81,1,1,1.28636610572366
0.9,0.83,0.77,0.84,1,1,1.19638922366155
0.9,0.8,0.85,0.76,1,0.98,1.36605069170958
0.88,0.85,0.82,0.87,1,0.98,1.14258974784546
