PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.98,0.92,0.7,0.78,1.94455240867197
0.96,0.9,0.8,0.8,1.95183871084655
0.92,0.88,0.74,0.84,1.85338984990957
0.98,0.84,0.58,0.76,2.03732284386315
0.94,0.9,0.82,0.66,2.0563217644388
0.92,0.94,0.74,0.72,1.87846175303095
0.96,0.92,0.7,0.74,1.94535725744199
0.9,0.8,0.64,0.8,1.92847048262071
0.98,0.88,0.72,0.82,1.96985518675534
0.94,0.86,0.72,0.7,2.04170717634935
0.96,0.84,0.7,0.84,1.96496547077649
0.96,0.82,0.66,0.76,2.05884934564275
0.96,0.88,0.72,0.8,1.95267593408499
0.94,0.8,0.64,0.82,1.98432648016598
0.94,0.92,0.64,0.74,1.88956472023522
0.96,0.72,0.7,0.72,2.2924597159059
0.94,0.84,0.62,0.82,1.91998799870374
0.96,0.9,0.76,0.66,2.07262553857986
0.96,0.84,0.72,0.76,2.04931824651674
0.94,0.82,0.62,0.7,2.06850506535952
0.96,0.86,0.66,0.86,1.90600513706636
0.98,0.9,0.68,0.82,1.92937292225407
0.98,0.88,0.7,0.84,1.94513597123806
0.98,0.74,0.76,0.76,2.27008936464426
0.92,0.84,0.68,0.72,1.99973349703454
0.88,0.84,0.78,0.84,1.84817995231593
0.96,0.84,0.68,0.8,1.99594741766594
0.98,0.84,0.66,0.66,2.17236804920157
0.94,0.82,0.68,0.76,2.02804511698542
0.9,0.9,0.66,0.64,1.94367988798001
0.88,0.88,0.74,0.74,1.86940036892669
0.94,0.9,0.68,0.76,1.91225737151809
0.98,0.88,0.76,0.78,2.02069655392666
0.98,0.8,0.76,0.82,2.10150755132956
0.9,0.84,0.74,0.8,1.90666875749162
0.98,0.9,0.74,0.84,1.93139875813957
0.92,0.8,0.7,0.76,2.02793896328407
0.96,0.82,0.78,0.68,2.18925307719032
0.96,0.84,0.7,0.72,2.08323576936584
0.94,0.72,0.72,0.7,2.28360618015258
1,0.76,0.76,0.8,2.22727884931419
0.98,0.86,0.68,0.68,2.12449783644583
0.98,0.86,0.74,0.8,2.02379298613124
0.98,0.92,0.7,0.76,1.96259923080902
0.98,0.88,0.7,0.82,1.96319367704085
0.98,0.76,0.74,0.74,2.25011851220719
0.98,0.84,0.7,0.84,2.00095147990066
0.94,0.88,0.7,0.86,1.85808071194257
0.92,0.76,0.82,0.82,2.07226614684974
0.92,0.86,0.78,0.86,1.87549727357441
0.96,0.76,0.64,0.66,2.26787920257315
0.92,0.78,0.74,0.7,2.1404773064885
1,0.74,0.78,0.76,2.31812950901912
