prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,1.2,0.6,0.655,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.542,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.501,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.983,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.964,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.946,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.231,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.184,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.146,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.555,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.399,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.353,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
