PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.72,0.67,0.66,0.68,0.96,1,1.18186870549372
0.82,0.73,0.76,0.73,1,0.98,1.24778497085594
0.77,0.67,0.75,0.66,1,1,1.33846444798434
0.79,0.74,0.73,0.76,1,1,1.15578511060053
0.8,0.71,0.79,0.7,0.98,0.96,1.30515765351897
0.72,0.73,0.69,0.67,0.98,1,1.14838872505678
0.79,0.77,0.77,0.73,1,0.98,1.18209065954448
0.87,0.71,0.76,0.72,1,0.98,1.33805680874368
0.8,0.69,0.79,0.72,1,0.98,1.30573323844035
0.81,0.74,0.75,0.78,0.98,1,1.17983950957946
0.81,0.79,0.56,0.75,1,1,1.00802843094833
0.84,0.73,0.78,0.76,1,1,1.26074381744748
0.85,0.72,0.68,0.77,0.98,1,1.19681124181361
0.82,0.65,0.72,0.74,0.98,1,1.30515607466138
0.77,0.66,0.69,0.75,1,1,1.19071700600657
0.78,0.67,0.7,0.64,1,1,1.3301817701976
0.8,0.72,0.69,0.66,1,1,1.25985466263133
0.78,0.74,0.7,0.76,0.98,1,1.12665461077287
0.84,0.71,0.67,0.78,1,0.98,1.16621216647234
0.73,0.69,0.69,0.79,1,1,1.07621031392704
0.76,0.66,0.76,0.73,1,1,1.26211188137284
0.8,0.72,0.63,0.72,1,0.98,1.13760860098072
0.81,0.76,0.61,0.77,1,1,1.05524868417646
0.81,0.65,0.72,0.74,0.98,0.98,1.28631059879031
0.72,0.69,0.75,0.83,1,1,1.07769153036606
0.78,0.73,0.74,0.78,1,0.98,1.13796003765458
0.78,0.67,0.69,0.74,1,1,1.20248869519628
0.8,0.76,0.75,0.71,1,0.98,1.20683292998813
0.74,0.63,0.72,0.71,0.98,1,1.26698953752755
0.84,0.8,0.72,0.79,0.98,1,1.12423899134707
0.83,0.72,0.77,0.71,1,1,1.30718207500528
0.86,0.78,0.71,0.67,1,0.98,1.26217769665157
0.76,0.75,0.69,0.72,1,0.98,1.11333208182396
0.78,0.64,0.62,0.79,1,0.98,1.11609149049569
0.75,0.79,0.77,0.68,1,1,1.1733951658672
0.83,0.74,0.68,0.72,1,0.96,1.18713985241648
