PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.91,0.85,0.92,0.87,1,0.98,1.92877078280432
0.87,0.82,0.95,0.78,1,1,2.12727083102036
0.87,0.83,0.9,0.8,1,1,1.9936608833852
0.94,0.83,0.96,0.76,1,1,2.24521372551713
0.93,0.8,0.92,0.9,1,1,1.98874816300514
0.92,0.84,0.95,0.9,1,1,1.96775427119657
0.9,0.83,0.9,0.86,1,0.98,1.92844589219099
0.94,0.8,0.94,0.84,1,1,2.12543759423602
0.87,0.83,0.87,0.85,1,0.98,1.86119323172933
0.87,0.81,0.95,0.86,1,1,2.01526756484683
0.92,0.85,0.97,0.79,1,0.98,2.14134503942632
0.9,0.89,0.88,0.86,0.98,1,1.83452765596053
0.89,0.88,0.89,0.83,1,1,1.88314073375497
0.87,0.86,0.95,0.91,1,1,1.87429101262864
0.86,0.8,0.94,0.88,1,0.98,1.96291305936573
0.9,0.87,0.94,0.84,1,1,1.97323702039425
0.89,0.8,0.94,0.85,1,1,2.0522588332941
0.87,0.84,0.93,0.83,1,1,1.98263208126425
0.87,0.79,0.91,0.8,1,0.98,2.06359901532679
0.93,0.82,0.92,0.9,0.98,1,1.96976315010241
0.92,0.84,0.93,0.85,1,1,2.00850894673407
0.96,0.84,0.95,0.88,1,1,2.03952924900263
0.87,0.86,0.96,0.83,1,0.98,1.99142755339112
0.92,0.9,0.96,0.86,1,1,1.95531292593767
0.94,0.83,0.93,0.82,1,1,2.09263979122224
0.84,0.79,0.96,0.76,1,0.98,2.18385765126539
0.92,0.82,0.96,0.87,1,0.98,2.0464100556214
0.91,0.84,0.82,0.84,1,0.98,1.8249359427704
0.86,0.9,0.9,0.83,1,1,1.83944716388799
0.91,0.88,0.91,0.83,1,1,1.93660419227996
0.91,0.82,0.94,0.86,1,1,2.02856477641478
0.9,0.9,0.92,0.91,1,1,1.80943174221037
0.9,0.82,0.95,0.77,1,1,2.18010523368977
0.95,0.86,0.95,0.86,1,1,2.02871760469154
0.88,0.84,0.96,0.78,1,0.98,2.11139397293487
0.87,0.85,0.94,0.88,1,1,1.91263351156476
0.89,0.88,0.95,0.87,1,1,1.92204908514932
0.93,0.82,0.86,0.89,1,1,1.87917967539557
0.93,0.87,0.92,0.87,1,0.98,1.92255171545187
0.91,0.84,0.93,0.88,1,1,1.954018412785
0.92,0.81,0.94,0.84,0.98,1,2.09680175577824
0.93,0.86,0.95,0.86,1,0.98,1.99723502163291
0.93,0.89,0.93,0.84,1,1,1.96142339349654
0.92,0.9,0.95,0.77,1,1,2.07135880625956
0.94,0.9,0.94,0.91,1,1,1.87955597520675
0.97,0.82,0.95,0.85,1,1,2.1274500476723
0.89,0.88,0.91,0.83,1,1,1.91482301244336
0.93,0.83,0.96,0.89,1,1,2.02282062340043
0.91,0.86,0.96,0.8,1,1,2.09219493976654
0.99,0.85,0.92,0.74,1,0.96,2.21134233225564
0.92,0.86,0.94,0.86,1,1,1.98055636442718
0.88,0.85,0.93,0.84,1,1,1.96430098228582
0.92,0.85,0.93,0.83,1,1,2.02350335287675
0.85,0.87,0.92,0.87,1,1,1.84664960822196
0.94,0.89,0.91,0.88,1,1,1.88662041584243
0.93,0.89,0.95,0.86,1,1,1.96437519963624
0.87,0.85,0.93,0.86,1,1,1.92472411129516
0.92,0.92,0.91,0.81,1,1,1.91946330215008
0.89,0.81,0.96,0.87,1,1,2.03868762349083
0.92,0.85,0.96,0.81,1,1,2.10349820662839
0.83,0.82,0.95,0.82,1,1,2.0158825186646
0.86,0.9,0.93,0.81,1,1,1.91383352137686
0.89,0.87,0.96,0.76,1,1,2.11773682594309
0.93,0.87,0.91,0.93,1,0.96,1.82063234826271
