prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,1.2,0.6,0.65,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.56,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.465,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.926,200_200_100,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.86,200_200_100,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.794,200_200_100,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.982,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.958,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.936,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.215,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.185,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.156,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.423,200_200_100,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.318,200_200_100,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.273,200_200_100,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.556,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.446,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.351,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.0610000000000001,100_100_50,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.044,100_100_50,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.042,100_100_50,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
