prev_ne;risk;prop_exp;SE_A_e;SE_A_ne;;sample_250;sample_500
0.1;2;0.05;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;2;0.05;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;2;0.05;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;2;0.2;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;2;0.2;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;2;0.2;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.05;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.05;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.05;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.2;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.2;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.1;1.2;0.2;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.05;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.05;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.05;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.2;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.2;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;2;0.2;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.05;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.05;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.05;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.2;0.7;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.2;0.8;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
0.01;1.2;0.2;0.9;0.7;;;
;;;;;bias;;
;;;;;sd;;
;;;;;rmse;;
