PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.43,0.4,0.49,0.35,0.916666666666667,0.984375,1.84913064461709
0.46,0.26,0.66,0.42,0.916666666666667,0.9375,2.51490401029493
0.57,0.32,0.52,0.49,0.916666666666667,0.984375,1.95327656350169
0.36,0.32,0.55,0.38,0.916666666666667,0.96875,1.99184376858396
0.44,0.35,0.58,0.47,0.916666666666667,0.953125,1.81304390412408
0.39,0.33,0.48,0.3,0.916666666666667,0.953125,2.17179917196783
0.47,0.39,0.55,0.42,0.916666666666667,0.953125,1.84440710781449
0.54,0.41,0.5,0.25,0.916666666666667,0.984375,2.49123519513796
0.42,0.38,0.5,0.39,0.916666666666667,0.953125,1.76748197169758
0.46,0.41,0.58,0.46,0.916666666666667,0.9375,1.72026573446052
0.39,0.34,0.49,0.46,0.916666666666667,0.96875,1.60480165172857
0.42,0.36,0.52,0.46,0.916666666666667,0.953125,1.66310626907022
0.42,0.29,0.46,0.37,0.916666666666667,0.953125,2.03584945321837
0.45,0.38,0.49,0.35,0.916666666666667,0.96875,1.94268296327287
0.47,0.36,0.49,0.38,0.916666666666667,0.953125,1.93178312896018
0.47,0.24,0.48,0.32,0.916666666666667,0.984375,2.77723754676154
0.47,0.37,0.56,0.39,0.916666666666667,0.96875,2.02926037476031
0.48,0.41,0.59,0.38,0.916666666666667,0.953125,2.01277397257563
0.41,0.38,0.55,0.42,0.916666666666667,0.9375,1.75876885438837
0.43,0.31,0.53,0.35,0.916666666666667,0.953125,2.24894474223577
0.45,0.3,0.44,0.37,0.916666666666667,0.96875,2.02343109594989
0.46,0.31,0.56,0.42,0.916666666666667,0.953125,2.09080507584098
0.53,0.39,0.48,0.46,0.916666666666667,0.921875,1.6862487678778
0.39,0.36,0.55,0.38,0.916666666666667,0.984375,1.92848767936186
0.43,0.29,0.49,0.43,0.916666666666667,0.984375,1.91776215251785
0.46,0.32,0.55,0.34,0.916666666666667,0.953125,2.37329699461172
0.44,0.26,0.54,0.4,0.916666666666667,0.953125,2.27604906239175
0.41,0.24,0.55,0.41,0.916666666666667,0.953125,2.27320519385114
0.46,0.33,0.49,0.3,0.916666666666667,0.984375,2.39500540023403
0.42,0.36,0.57,0.37,0.916666666666667,1,2.0800271566173
0.37,0.36,0.54,0.37,0.916666666666667,0.96875,1.89222173750795
0.43,0.33,0.53,0.41,0.916666666666667,0.96875,1.94323611332234
0.36,0.25,0.66,0.36,0.916666666666667,0.984375,2.7092085665295
0.34,0.35,0.53,0.36,0.916666666666667,0.953125,1.86633246016765
0.37,0.31,0.51,0.38,0.916666666666667,0.953125,1.94050524199527
0.41,0.27,0.49,0.52,0.916666666666667,0.953125,1.64308868394835
0.46,0.29,0.53,0.4,0.916666666666667,0.9375,2.1624788699052
0.5,0.37,0.56,0.35,0.916666666666667,0.96875,2.24247549339488
0.53,0.24,0.58,0.39,0.916666666666667,0.96875,2.75422885572139
0.49,0.34,0.58,0.4,0.916666666666667,0.953125,2.16688276381279
0.59,0.39,0.52,0.39,0.916666666666667,0.96875,2.10194485415609
0.52,0.28,0.57,0.41,0.916666666666667,0.984375,2.41667080296277
0.4,0.35,0.49,0.43,0.916666666666667,0.90625,1.65202220859882
0.27,0.36,0.47,0.38,0.916666666666667,0.984375,1.51032472845692
0.43,0.31,0.56,0.41,0.916666666666667,0.984375,2.08835218560412
0.39,0.36,0.51,0.42,0.916666666666667,0.953125,1.69899354517062
0.52,0.38,0.53,0.47,0.916666666666667,0.984375,1.78794014790371
0.5,0.31,0.54,0.41,0.916666666666667,0.9375,2.15332924156072
