PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.56,0.31,0.49,0.38,0.916666666666667,0.9375,2.30004491579217
0.4,0.36,0.49,0.41,0.916666666666667,0.953125,1.68486606616855
0.48,0.34,0.49,0.37,0.916666666666667,0.953125,2.05298693051588
0.46,0.24,0.42,0.48,0.916666666666667,0.984375,1.80846991151298
0.58,0.27,0.45,0.4,0.916666666666667,0.96875,2.35629159333074
0.37,0.37,0.48,0.39,0.916666666666667,0.96875,1.64124192778538
0.44,0.38,0.51,0.35,0.916666666666667,0.953125,1.94444215984188
0.48,0.31,0.44,0.38,0.916666666666667,0.984375,2.03091576926445
0.48,0.3,0.5,0.36,0.916666666666667,1,2.30934592953198
0.51,0.36,0.49,0.3,0.916666666666667,0.953125,2.35211804274189
0.5,0.34,0.46,0.43,0.916666666666667,0.984375,1.84227840593929
0.46,0.38,0.54,0.43,0.916666666666667,0.9375,1.78158218709628
0.49,0.23,0.48,0.37,0.916666666666667,0.96875,2.54826603888853
0.51,0.38,0.4,0.34,0.916666666666667,0.90625,1.87929309535406
0.5,0.35,0.51,0.39,0.916666666666667,0.984375,2.04800397488439
0.45,0.37,0.47,0.42,0.916666666666667,0.984375,1.70781260537873
0.42,0.29,0.53,0.44,0.916666666666667,0.984375,1.93022808810419
0.45,0.45,0.54,0.44,0.916666666666667,0.96875,1.58843376662872
0.49,0.34,0.51,0.26,0.916666666666667,0.921875,2.6444771437932
0.49,0.32,0.43,0.34,0.916666666666667,0.984375,2.16447738533725
0.56,0.29,0.58,0.31,0.916666666666667,0.953125,3.03428412383076
0.46,0.26,0.53,0.38,0.916666666666667,0.953125,2.37501855022685
0.48,0.31,0.56,0.39,0.916666666666667,0.953125,2.23402626551049
0.54,0.31,0.52,0.36,0.916666666666667,0.953125,2.42542202640607
0.54,0.33,0.4,0.39,0.916666666666667,1,1.9835265274522
0.5,0.44,0.44,0.37,0.916666666666667,1,1.71964154400309
0.46,0.4,0.5,0.37,0.916666666666667,0.9375,1.8313005018841
0.49,0.43,0.47,0.42,0.916666666666667,0.984375,1.63936338990005
0.47,0.31,0.34,0.39,0.916666666666667,0.9375,1.72367161016178
0.46,0.34,0.48,0.33,0.916666666666667,0.984375,2.17037163371154
0.43,0.29,0.42,0.44,0.916666666666667,0.96875,1.7167427161349
0.5,0.36,0.49,0.36,0.916666666666667,0.921875,2.04784902936763
0.55,0.36,0.48,0.33,0.916666666666667,0.953125,2.28571643629268
0.44,0.35,0.42,0.46,0.916666666666667,0.953125,1.52535016229117
0.52,0.31,0.5,0.4,0.916666666666667,0.96875,2.16469553018733
0.45,0.31,0.51,0.43,0.916666666666667,0.953125,1.90919214424473
0.49,0.3,0.53,0.38,0.916666666666667,0.984375,2.29774790193129
0.55,0.31,0.49,0.41,0.916666666666667,0.984375,2.18062801395587
0.5,0.3,0.42,0.43,0.916666666666667,0.953125,1.86488668319212
0.5,0.38,0.5,0.41,0.916666666666667,0.96875,1.86008524863129
0.53,0.44,0.4,0.44,0.916666666666667,0.984375,1.52413641793228
0.36,0.32,0.41,0.36,0.916666666666667,0.984375,1.71461730110599
0.51,0.25,0.52,0.4,0.916666666666667,0.9375,2.4109357900392
0.51,0.32,0.42,0.44,0.916666666666667,0.9375,1.787535623955
0.46,0.37,0.43,0.38,0.916666666666667,0.953125,1.75474329299171
0.48,0.39,0.39,0.43,0.916666666666667,0.921875,1.52065420079559
0.6,0.37,0.37,0.31,0.916666666666667,0.921875,2.18415517866817
0.5,0.28,0.47,0.37,0.916666666666667,0.984375,2.31631735203211
0.45,0.25,0.4,0.38,0.916666666666667,0.953125,2.07279024397372
0.51,0.33,0.43,0.33,0.916666666666667,0.96875,2.20801823143123
0.59,0.4,0.49,0.42,0.916666666666667,0.953125,1.92367214734497
0.47,0.28,0.52,0.42,0.916666666666667,0.96875,2.12268747474711
0.56,0.35,0.43,0.43,0.916666666666667,0.96875,1.87095048055125
0.48,0.28,0.47,0.35,0.916666666666667,0.984375,2.36573747222449
0.42,0.4,0.44,0.35,0.916666666666667,0.984375,1.71270570045998
0.51,0.35,0.47,0.35,0.916666666666667,0.96875,2.13251399750127
0.53,0.38,0.43,0.37,0.916666666666667,0.90625,1.8824485960443
0.5,0.26,0.45,0.48,0.916666666666667,0.953125,1.88008968375607
0.55,0.34,0.49,0.37,0.916666666666667,0.953125,2.21281186491589
0.5,0.32,0.45,0.44,0.916666666666667,0.984375,1.84873322965748
