Power,combination
0.785,0.2_0.01_0.5_0.4_100_100_50
0.775,0.2_0.01_0.5_0.4_100_100_50
0.774,0.2_0.01_0.5_0.4_100_100_50
0.98,0.2_0.01_0.5_0.4_200_200_100
0.979,0.2_0.01_0.5_0.4_200_200_100
0.984,0.2_0.01_0.5_0.4_200_200_100
1,0.2_0.01_0.5_0.4_300_300_150
0.999,0.2_0.01_0.5_0.4_300_300_150
0.997,0.2_0.01_0.5_0.4_300_300_150
0.158,0.2_0.01_0.5_0.8_100_100_50
0.15,0.2_0.01_0.5_0.8_100_100_50
0.164,0.2_0.01_0.5_0.8_100_100_50
0.251,0.2_0.01_0.5_0.8_200_200_100
0.248,0.2_0.01_0.5_0.8_200_200_100
0.285,0.2_0.01_0.5_0.8_200_200_100
0.333,0.2_0.01_0.5_0.8_300_300_150
0.388,0.2_0.01_0.5_0.8_300_300_150
0.403,0.2_0.01_0.5_0.8_300_300_150
0.053,0.2_0.01_0.5_1_100_100_50
0.049,0.2_0.01_0.5_1_100_100_50
0.046,0.2_0.01_0.5_1_100_100_50
0.039,0.2_0.01_0.5_1_200_200_100
0.046,0.2_0.01_0.5_1_200_200_100
0.04,0.2_0.01_0.5_1_200_200_100
0.029,0.2_0.01_0.5_1_300_300_150
0.036,0.2_0.01_0.5_1_300_300_150
0.041,0.2_0.01_0.5_1_300_300_150
0.125,0.2_0.01_0.5_1.2_100_100_50
0.097,0.2_0.01_0.5_1.2_100_100_50
0.09,0.2_0.01_0.5_1.2_100_100_50
0.164,0.2_0.01_0.5_1.2_200_200_100
0.154,0.2_0.01_0.5_1.2_200_200_100
0.136,0.2_0.01_0.5_1.2_200_200_100
0.254,0.2_0.01_0.5_1.2_300_300_150
0.218,0.2_0.01_0.5_1.2_300_300_150
0.171,0.2_0.01_0.5_1.2_300_300_150
0.792,0.2_0.01_0.5_1.6_100_100_50
0.743,0.2_0.01_0.5_1.6_100_100_50
0.658,0.2_0.01_0.5_1.6_100_100_50
0.98,0.2_0.01_0.5_1.6_200_200_100
0.967,0.2_0.01_0.5_1.6_200_200_100
0.924,0.2_0.01_0.5_1.6_200_200_100
1,0.2_0.01_0.5_1.6_300_300_150
0.996,0.2_0.01_0.5_1.6_300_300_150
0.987,0.2_0.01_0.5_1.6_300_300_150
0.913,0.2_0.01_1.2_0.4_100_100_50
0.904,0.2_0.01_1.2_0.4_100_100_50
0.916,0.2_0.01_1.2_0.4_100_100_50
1,0.2_0.01_1.2_0.4_200_200_100
0.999,0.2_0.01_1.2_0.4_200_200_100
0.997,0.2_0.01_1.2_0.4_200_200_100
1,0.2_0.01_1.2_0.4_300_300_150
1,0.2_0.01_1.2_0.4_300_300_150
1,0.2_0.01_1.2_0.4_300_300_150
0.192,0.2_0.01_1.2_0.8_100_100_50
0.194,0.2_0.01_1.2_0.8_100_100_50
0.189,0.2_0.01_1.2_0.8_100_100_50
0.403,0.2_0.01_1.2_0.8_200_200_100
0.368,0.2_0.01_1.2_0.8_200_200_100
0.365,0.2_0.01_1.2_0.8_200_200_100
0.509,0.2_0.01_1.2_0.8_300_300_150
0.544,0.2_0.01_1.2_0.8_300_300_150
0.565,0.2_0.01_1.2_0.8_300_300_150
0.0629999999999999,0.2_0.01_1.2_1_100_100_50
0.04,0.2_0.01_1.2_1_100_100_50
0.043,0.2_0.01_1.2_1_100_100_50
0.04,0.2_0.01_1.2_1_200_200_100
0.05,0.2_0.01_1.2_1_200_200_100
0.0590000000000001,0.2_0.01_1.2_1_200_200_100
0.031,0.2_0.01_1.2_1_300_300_150
0.045,0.2_0.01_1.2_1_300_300_150
0.0560000000000001,0.2_0.01_1.2_1_300_300_150
0.183,0.2_0.01_1.2_1.2_100_100_50
0.142,0.2_0.01_1.2_1.2_100_100_50
0.145,0.2_0.01_1.2_1.2_100_100_50
0.292,0.2_0.01_1.2_1.2_200_200_100
0.229,0.2_0.01_1.2_1.2_200_200_100
0.203,0.2_0.01_1.2_1.2_200_200_100
0.406,0.2_0.01_1.2_1.2_300_300_150
0.352,0.2_0.01_1.2_1.2_300_300_150
0.265,0.2_0.01_1.2_1.2_300_300_150
0.923,0.2_0.01_1.2_1.6_100_100_50
0.869,0.2_0.01_1.2_1.6_100_100_50
0.825,0.2_0.01_1.2_1.6_100_100_50
1,0.2_0.01_1.2_1.6_200_200_100
0.996,0.2_0.01_1.2_1.6_200_200_100
0.971,0.2_0.01_1.2_1.6_200_200_100
1,0.2_0.01_1.2_1.6_300_300_150
1,0.2_0.01_1.2_1.6_300_300_150
0.998,0.2_0.01_1.2_1.6_300_300_150
0.954,0.2_0.01_2_0.4_100_100_50
0.967,0.2_0.01_2_0.4_100_100_50
0.949,0.2_0.01_2_0.4_100_100_50
1,0.2_0.01_2_0.4_200_200_100
1,0.2_0.01_2_0.4_200_200_100
0.999,0.2_0.01_2_0.4_200_200_100
1,0.2_0.01_2_0.4_300_300_150
1,0.2_0.01_2_0.4_300_300_150
1,0.2_0.01_2_0.4_300_300_150
0.238,0.2_0.01_2_0.8_100_100_50
0.217,0.2_0.01_2_0.8_100_100_50
0.199,0.2_0.01_2_0.8_100_100_50
0.414,0.2_0.01_2_0.8_200_200_100
0.427,0.2_0.01_2_0.8_200_200_100
0.397,0.2_0.01_2_0.8_200_200_100
0.572,0.2_0.01_2_0.8_300_300_150
0.63,0.2_0.01_2_0.8_300_300_150
0.621,0.2_0.01_2_0.8_300_300_150
0.048,0.2_0.01_2_1_100_100_50
0.0540000000000001,0.2_0.01_2_1_100_100_50
0.053,0.2_0.01_2_1_100_100_50
0.045,0.2_0.01_2_1_200_200_100
0.048,0.2_0.01_2_1_200_200_100
0.044,0.2_0.01_2_1_200_200_100
0.044,0.2_0.01_2_1_300_300_150
0.046,0.2_0.01_2_1_300_300_150
0.0620000000000001,0.2_0.01_2_1_300_300_150
0.209,0.2_0.01_2_1.2_100_100_50
0.171,0.2_0.01_2_1.2_100_100_50
0.168,0.2_0.01_2_1.2_100_100_50
0.362,0.2_0.01_2_1.2_200_200_100
0.302,0.2_0.01_2_1.2_200_200_100
0.262,0.2_0.01_2_1.2_200_200_100
0.485,0.2_0.01_2_1.2_300_300_150
0.395,0.2_0.01_2_1.2_300_300_150
0.346,0.2_0.01_2_1.2_300_300_150
0.947,0.2_0.01_2_1.6_100_100_50
0.893,0.2_0.01_2_1.6_100_100_50
0.855,0.2_0.01_2_1.6_100_100_50
0.998,0.2_0.01_2_1.6_200_200_100
0.992,0.2_0.01_2_1.6_200_200_100
0.988,0.2_0.01_2_1.6_200_200_100
1,0.2_0.01_2_1.6_300_300_150
1,0.2_0.01_2_1.6_300_300_150
0.998,0.2_0.01_2_1.6_300_300_150
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_300_300_150
1,0.2_0.1_0.5_0.4_300_300_150
1,0.2_0.1_0.5_0.4_300_300_150
0.788,0.2_0.1_0.5_0.8_100_100_50
0.759,0.2_0.1_0.5_0.8_100_100_50
0.728,0.2_0.1_0.5_0.8_100_100_50
0.983,0.2_0.1_0.5_0.8_200_200_100
0.971,0.2_0.1_0.5_0.8_200_200_100
0.967,0.2_0.1_0.5_0.8_200_200_100
0.999,0.2_0.1_0.5_0.8_300_300_150
0.997,0.2_0.1_0.5_0.8_300_300_150
0.998,0.2_0.1_0.5_0.8_300_300_150
0.0540000000000001,0.2_0.1_0.5_1_100_100_50
0.0570000000000001,0.2_0.1_0.5_1_100_100_50
0.067,0.2_0.1_0.5_1_100_100_50
0.034,0.2_0.1_0.5_1_200_200_100
0.0520000000000001,0.2_0.1_0.5_1_200_200_100
0.0550000000000001,0.2_0.1_0.5_1_200_200_100
0.042,0.2_0.1_0.5_1_300_300_150
0.053,0.2_0.1_0.5_1_300_300_150
0.0520000000000001,0.2_0.1_0.5_1_300_300_150
0.804,0.2_0.1_0.5_1.2_100_100_50
0.768,0.2_0.1_0.5_1.2_100_100_50
0.752,0.2_0.1_0.5_1.2_100_100_50
0.966,0.2_0.1_0.5_1.2_200_200_100
0.976,0.2_0.1_0.5_1.2_200_200_100
0.956,0.2_0.1_0.5_1.2_200_200_100
0.994,0.2_0.1_0.5_1.2_300_300_150
0.991,0.2_0.1_0.5_1.2_300_300_150
0.994,0.2_0.1_0.5_1.2_300_300_150
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_300_300_150
1,0.2_0.1_1.2_0.4_300_300_150
1,0.2_0.1_1.2_0.4_300_300_150
0.933,0.2_0.1_1.2_0.8_100_100_50
0.932,0.2_0.1_1.2_0.8_100_100_50
