PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.833333333333333,0.913333333333333,0.913333333333333,0.886666666666667,1,0.986666666666667,1.16337620882506
0.806666666666667,0.886666666666667,0.92,0.88,1,1,1.19297254959107
0.82,0.86,0.9,0.92,1,1,1.15015330705212
0.8,0.86,0.9,0.906666666666667,1,1,1.15530671915896
0.793333333333333,0.853333333333333,0.92,0.88,1,1,1.21273088430114
0.813333333333333,0.88,0.933333333333333,0.853333333333333,1,1,1.25058806785927
0.806666666666667,0.84,0.873333333333333,0.92,1,0.986666666666667,1.11999335489809
0.773333333333333,0.886666666666667,0.94,0.886666666666667,1,1,1.19286559439326
0.813333333333333,0.913333333333333,0.96,0.886666666666667,1,1,1.21551235675135
0.793333333333333,0.866666666666667,0.92,0.913333333333333,1,1,1.16343286588531
0.76,0.833333333333333,0.866666666666667,0.893333333333333,1,1,1.12994588410618
0.793333333333333,0.9,0.92,0.92,1,1,1.13204522434109
0.8,0.853333333333333,0.933333333333333,0.92,1,0.986666666666667,1.1781075153509
0.8,0.84,0.9,0.933333333333333,1,1,1.14040895635812
0.8,0.833333333333333,0.9,0.913333333333333,1,1,1.16783638516404
0.826666666666667,0.833333333333333,0.913333333333333,0.946666666666667,1,1,1.15911915089931
0.813333333333333,0.833333333333333,0.96,0.866666666666667,1,1,1.30715799028397
0.806666666666667,0.813333333333333,0.893333333333333,0.886666666666667,1,1,1.2106685821602
0.78,0.873333333333333,0.94,0.86,1,0.986666666666667,1.23161560501486
0.826666666666667,0.853333333333333,0.906666666666667,0.906666666666667,1,1,1.18143018087536
0.833333333333333,0.873333333333333,0.88,0.88,1,1,1.16795141203401
0.866666666666667,0.813333333333333,0.933333333333333,0.933333333333333,1,0.986666666666667,1.22578764693475
0.84,0.873333333333333,0.853333333333333,0.886666666666667,1,1,1.13128805476896
0.773333333333333,0.906666666666667,0.9,0.9,1,1,1.11586862438096
0.82,0.82,0.94,0.906666666666667,1,1,1.2451775478696
0.78,0.833333333333333,0.96,0.893333333333333,1,1,1.25531562587026
0.806666666666667,0.893333333333333,0.886666666666667,0.913333333333333,1,1,1.11144946827394
0.786666666666667,0.846666666666667,0.886666666666667,0.886666666666667,1,1,1.16556142182302
0.84,0.866666666666667,0.926666666666667,0.833333333333333,1,0.986666666666667,1.28562284786344
0.793333333333333,0.86,0.926666666666667,0.933333333333333,1,1,1.15400191936064
0.766666666666667,0.873333333333333,0.933333333333333,0.893333333333333,1,1,1.18410426403864
0.833333333333333,0.833333333333333,0.926666666666667,0.92,1,1,1.20867822080694
0.84,0.853333333333333,0.933333333333333,0.873333333333333,1,1,1.2612004945559
0.793333333333333,0.84,0.933333333333333,0.893333333333333,1,1,1.22367473495488
0.78,0.84,0.893333333333333,0.86,1,1,1.20806824459235
0.8,0.813333333333333,0.906666666666667,0.9,1,1,1.20753382212549
0.78,0.853333333333333,0.926666666666667,0.893333333333333,1,0.986666666666667,1.19109214162913
0.82,0.866666666666667,0.946666666666667,0.866666666666667,1,0.973333333333333,1.24968878697301
0.786666666666667,0.866666666666667,0.946666666666667,0.906666666666667,1,1,1.19951282543651
0.8,0.913333333333333,0.98,0.913333333333333,1,1,1.20191804855942
0.846666666666667,0.886666666666667,0.92,0.873333333333333,1,1,1.22072097201118
0.793333333333333,0.826666666666667,0.946666666666667,0.92,1,0.986666666666667,1.2111964629368
0.826666666666667,0.833333333333333,0.906666666666667,0.86,1,1,1.25502355260985
0.826666666666667,0.846666666666667,0.926666666666667,0.886666666666667,1,1,1.23500033795709
0.84,0.866666666666667,0.92,0.846666666666667,1,1,1.26747644070922
0.806666666666667,0.866666666666667,0.893333333333333,0.933333333333333,1,1,1.11675982236408
0.84,0.82,0.92,0.906666666666667,1,1,1.23063417981343
0.793333333333333,0.893333333333333,0.913333333333333,0.853333333333333,1,1,1.20467662243495
0.733333333333333,0.906666666666667,0.94,0.906666666666667,1,1,1.13633875216669
0.8,0.833333333333333,0.88,0.893333333333333,1,0.986666666666667,1.15960323338566
0.82,0.826666666666667,0.96,0.913333333333333,1,0.986666666666667,1.24842699748444
0.833333333333333,0.826666666666667,0.92,0.88,1,0.986666666666667,1.24754991172948
0.833333333333333,0.88,0.926666666666667,0.886666666666667,1,1,1.21151862060858
0.846666666666667,0.88,0.94,0.906666666666667,1,1,1.21042062050855
0.793333333333333,0.9,0.933333333333333,0.866666666666667,1,1,1.20783656531801
0.793333333333333,0.886666666666667,0.893333333333333,0.94,1,1,1.08988938397211
0.78,0.846666666666667,0.946666666666667,0.886666666666667,1,0.986666666666667,1.22875135699858
0.833333333333333,0.833333333333333,0.873333333333333,0.86,1,1,1.21590773557631
0.8,0.813333333333333,0.933333333333333,0.886666666666667,1,0.986666666666667,1.24995279406885
0.826666666666667,0.846666666666667,0.926666666666667,0.933333333333333,1,1,1.17980578212964
0.8,0.893333333333333,0.926666666666667,0.846666666666667,1,1,1.23277230005561
0.786666666666667,0.82,0.92,0.873333333333333,1,0.986666666666667,1.23766798689796
0.773333333333333,0.853333333333333,0.94,0.933333333333333,1,1,1.16491694592009
0.813333333333333,0.86,0.94,0.906666666666667,1,0.986666666666667,1.20270589749534
0.793333333333333,0.873333333333333,0.873333333333333,0.886666666666667,1,1,1.13241709949304
0.833333333333333,0.886666666666667,0.94,0.84,1,1,1.28065781697229
0.753333333333333,0.9,0.94,0.946666666666667,1,1,1.10853572344702
0.82,0.866666666666667,0.92,0.893333333333333,1,0.986666666666667,1.19242901843606
0.773333333333333,0.8,0.9,0.866666666666667,1,1,1.23852344296711
0.76,0.853333333333333,0.94,0.906666666666667,1,1,1.18876088030125
0.793333333333333,0.853333333333333,0.92,0.913333333333333,1,1,1.17343070315722
0.766666666666667,0.846666666666667,0.906666666666667,0.92,1,1,1.14197801676607
0.806666666666667,0.86,0.92,0.9,1,1,1.19025644773429
0.766666666666667,0.806666666666667,0.913333333333333,0.926666666666667,1,1,1.17250724522942
0.773333333333333,0.813333333333333,0.926666666666667,0.906666666666667,1,1,1.21069038646336
0.826666666666667,0.846666666666667,0.9,0.873333333333333,1,0.986666666666667,1.21103179479501
0.793333333333333,0.806666666666667,0.926666666666667,0.933333333333333,1,1,1.19409540997339
0.82,0.866666666666667,0.906666666666667,0.9,1,1,1.17565403199415
0.78,0.866666666666667,0.946666666666667,0.886666666666667,1,1,1.21993427822685
0.84,0.82,0.913333333333333,0.88,1,1,1.25593406918425
0.78,0.813333333333333,0.92,0.893333333333333,1,1,1.22219193261522
0.773333333333333,0.853333333333333,0.953333333333333,0.853333333333333,1,0.986666666666667,1.27017794262338
0.82,0.846666666666667,0.926666666666667,0.866666666666667,1,1,1.25684267760791
0.813333333333333,0.833333333333333,0.913333333333333,0.853333333333333,1,1,1.26534978656175
0.833333333333333,0.846666666666667,0.88,0.86,1,1,1.2132791828695
0.853333333333333,0.853333333333333,0.906666666666667,0.92,1,1,1.17915294311212
0.826666666666667,0.853333333333333,0.933333333333333,0.88,1,1,1.24602330711257
0.793333333333333,0.846666666666667,0.933333333333333,0.86,1,1,1.26011798032308
0.86,0.853333333333333,0.92,0.893333333333333,1,1,1.22990050132446
0.806666666666667,0.906666666666667,0.906666666666667,0.92,1,0.986666666666667,1.11207920719559
0.82,0.833333333333333,0.92,0.9,1,1,1.21793999539607
0.833333333333333,0.78,0.92,0.88,1,1,1.29623530087979
0.826666666666667,0.86,0.926666666666667,0.893333333333333,1,1,1.21609678841896
0.746666666666667,0.833333333333333,0.933333333333333,0.926666666666667,1,1,1.16649271331581
0.8,0.866666666666667,0.92,0.906666666666667,1,0.986666666666667,1.16740432555362
0.766666666666667,0.853333333333333,0.906666666666667,0.9,1,1,1.15950285289087
0.8,0.833333333333333,0.933333333333333,0.926666666666667,1,1,1.19253550392363
0.82,0.84,0.913333333333333,0.886666666666667,1,1,1.22061914528856
0.84,0.86,0.946666666666667,0.866666666666667,1,0.986666666666667,1.27294103343368
0.773333333333333,0.826666666666667,0.913333333333333,0.913333333333333,1,1,1.17590619334829
0.766666666666667,0.826666666666667,0.933333333333333,0.966666666666667,1,1,1.13693401245417
0.773333333333333,0.88,0.933333333333333,0.92,1,1,1.15232623801157
0.8,0.78,0.946666666666667,0.94,1,1,1.23490872400836
0.753333333333333,0.846666666666667,0.893333333333333,0.906666666666667,1,1,1.13425088670174
0.753333333333333,0.84,0.92,0.906666666666667,1,1,1.1715580391232
0.806666666666667,0.84,0.92,0.893333333333333,1,1,1.2139784335579
0.786666666666667,0.846666666666667,0.96,0.906666666666667,1,1,1.23125235649731
0.82,0.893333333333333,0.893333333333333,0.886666666666667,1,1,1.15474913451696
0.846666666666667,0.86,0.913333333333333,0.913333333333333,1,1,1.18640992962862
0.84,0.886666666666667,0.906666666666667,0.88,1,1,1.19331863968378
0.806666666666667,0.9,0.9,0.92,1,1,1.11526637696048
0.766666666666667,0.8,0.933333333333333,0.92,1,1,1.21009635707481
0.8,0.86,0.926666666666667,0.92,1,0.986666666666667,1.16529071146342
0.833333333333333,0.86,0.933333333333333,0.873333333333333,1,1,1.25221510028354
0.8,0.833333333333333,0.933333333333333,0.906666666666667,1,1,1.21618098258433
0.806666666666667,0.86,0.9,0.933333333333333,1,1,1.12922996044829
0.806666666666667,0.873333333333333,0.953333333333333,0.94,1,1,1.17420397807091
0.8,0.853333333333333,0.96,0.893333333333333,1,1,1.24877405372272
0.78,0.853333333333333,0.88,0.906666666666667,1,0.986666666666667,1.1198321335199
0.826666666666667,0.893333333333333,0.96,0.913333333333333,1,1,1.20641389655165
0.793333333333333,0.866666666666667,0.953333333333333,0.926666666666667,1,1,1.18766843453352
0.786666666666667,0.82,0.913333333333333,0.933333333333333,1,1,1.16458268274855
0.84,0.893333333333333,0.94,0.933333333333333,1,1,1.16733181111707
0.813333333333333,0.846666666666667,0.933333333333333,0.913333333333333,1,1,1.20430761578556
