prop_exp,prev_ne,risk,SE_exp,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,1.2,0.15,0.982,100_100_50,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.15,1,200_200_100,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.15,1,300_300_150,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.3,0.526,100_100_50,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.3,0.856,200_200_100,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.3,0.988,300_300_150,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.4,0.152,100_100_50,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.4,0.273,200_200_100,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.4,0.402,300_300_150,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.5,0.032,100_100_50,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.5,0.028,200_200_100,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.5,0.00700000000000001,300_300_150,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.112,100_100_50,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.175,200_200_100,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.205,300_300_150,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.7,0.32,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.7,0.592,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.7,0.811,300_300_150,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.85,0.74,100_100_50,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.85,0.967,200_200_100,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.85,1,300_300_150,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.15,0.993,100_100_50,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.15,1,200_200_100,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.15,1,300_300_150,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.3,0.575,100_100_50,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.3,0.904,200_200_100,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.3,0.995,300_300_150,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.4,0.184,100_100_50,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.4,0.338,200_200_100,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.4,0.491,300_300_150,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.5,0.038,100_100_50,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.5,0.034,200_200_100,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.5,0.021,300_300_150,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.125,100_100_50,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
