PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.92,0.8,0.36,0.24,1.85738317757009
0.88,0.84,0.48,0.22,2.08737450921091
0.86,0.9,0.56,0.28,1.9627873243885
0.9,0.8,0.5,0.26,2.08228936379268
0.9,0.82,0.44,0.18,2.19721418297647
0.86,0.86,0.42,0.26,1.78480827711906
0.86,0.72,0.28,0.28,1.60137042372566
0.88,0.88,0.44,0.26,1.82204683260847
0.84,0.86,0.44,0.18,2.0547921269784
0.88,0.78,0.4,0.18,2.14513545092087
0.8,0.96,0.46,0.26,1.68643422778579
0.88,0.92,0.4,0.26,1.69252445477204
0.9,0.78,0.4,0.22,2.0216734068868
0.9,0.84,0.46,0.18,2.20979083069115
0.9,0.82,0.4,0.26,1.83689486639792
0.92,0.88,0.34,0.24,1.70846758765129
0.84,0.88,0.44,0.24,1.83535553899752
0.92,0.88,0.52,0.16,2.38522895634497
0.96,0.86,0.58,0.14,2.71965114941485
0.88,0.86,0.36,0.18,1.91235852459756
0.9,0.88,0.46,0.18,2.14005009416927
0.84,0.82,0.3,0.18,1.77860499513763
0.88,0.86,0.58,0.2,2.35472938920172
0.9,0.78,0.38,0.32,1.6849788530629
0.88,0.9,0.46,0.16,2.15563968188945
0.86,0.82,0.52,0.28,1.98968070989599
0.94,0.88,0.44,0.34,1.68309264724165
0.94,0.88,0.4,0.26,1.80191012964559
0.92,0.82,0.4,0.24,1.91844582562883
0.9,0.74,0.44,0.32,1.85683528824127
0.92,0.92,0.48,0.28,1.8399719248991
0.92,0.84,0.38,0.2,1.97151261248298
0.94,0.78,0.4,0.3,1.81948287000735
0.88,0.78,0.5,0.18,2.39945976222311
0.92,0.82,0.54,0.28,2.09452183088324
0.9,0.82,0.38,0.24,1.85162905817896
0.92,0.92,0.42,0.1,2.31099130122415
0.96,0.88,0.46,0.36,1.69327591847487
0.9,0.9,0.36,0.2,1.81548136502358
0.98,0.86,0.38,0.28,1.77383627724086
0.88,0.84,0.5,0.16,2.36511644473995
0.88,0.8,0.44,0.24,1.99233644859813
0.88,0.84,0.44,0.16,2.21470593473396
0.92,0.84,0.5,0.22,2.17814539936248
0.98,0.86,0.42,0.26,1.91128297326479
0.9,0.84,0.44,0.26,1.89549963202327
0.84,0.88,0.46,0.14,2.22002434299216
0.86,0.82,0.38,0.2,1.93125367234656
0.86,0.9,0.46,0.18,2.0603178504137
0.84,0.82,0.42,0.28,1.75995047926875
0.86,0.84,0.54,0.22,2.20021518441894
0.92,0.82,0.42,0.24,1.96287372859288
0.88,0.94,0.42,0.18,1.93130872803161
0.82,0.86,0.44,0.32,1.63568018849294
0.88,0.84,0.32,0.16,1.91388491472196
0.8,0.76,0.36,0.2,1.90329915660658
0.86,0.86,0.4,0.1,2.30123066058093
0.94,0.8,0.48,0.32,1.9019741192028
0.88,0.82,0.54,0.06,3.07642304729169
0.8,0.84,0.46,0.28,1.77638850982533
0.94,0.84,0.48,0.22,2.15571965003091
0.86,0.84,0.44,0.1,2.45739148396038
0.92,0.86,0.42,0.22,1.96736018475069
0.92,0.8,0.34,0.3,1.65039211156638
0.94,0.86,0.4,0.18,2.07953059476034
0.86,0.86,0.58,0.2,2.33154079389338
0.9,0.88,0.46,0.22,2.0039245631943
0.88,0.8,0.36,0.26,1.75455661999509
0.88,0.72,0.34,0.26,1.81784339636637
0.88,0.84,0.34,0.28,1.61239424126638
0.92,0.78,0.5,0.26,2.13571496053074
0.8,0.9,0.42,0.22,1.77934732531354
0.92,0.76,0.56,0.22,2.4638263551045
0.86,0.92,0.48,0.12,2.30155983339499
0.9,0.7,0.48,0.2,2.45183399934694
0.9,0.86,0.48,0.24,2.01350982079695
0.92,0.78,0.46,0.16,2.43892868421135
0.96,0.78,0.38,0.2,2.11867704845188
0.92,0.86,0.48,0.22,2.10094853449049
0.86,0.94,0.42,0.16,1.97274068478115
0.94,0.82,0.42,0.24,1.98526259307871
0.84,0.82,0.42,0.26,1.81486568442082
0.96,0.74,0.6,0.26,2.47595474980929
0.92,0.88,0.58,0.3,2.0308969540843
0.9,0.78,0.26,0.16,1.88419196388092
0.88,0.78,0.46,0.28,1.94004337644705
0.88,0.86,0.38,0.28,1.67154260113398
0.94,0.9,0.54,0.26,2.06199812134204
0.9,0.86,0.52,0.26,2.03611086347112
0.92,0.74,0.46,0.24,2.182353056377
0.86,0.76,0.42,0.16,2.29427138045852
0.88,0.9,0.48,0.24,1.93552966285721
0.9,0.78,0.28,0.2,1.79923385445558
0.9,0.82,0.5,0.2,2.2640350408632
0.88,0.84,0.46,0.12,2.44238623850862
0.88,0.88,0.42,0.12,2.2522252351862
0.92,0.78,0.4,0.24,1.97763081903739
0.96,0.86,0.58,0.22,2.36847585955995
0.84,0.86,0.42,0.26,1.76372916109477
0.82,0.78,0.46,0.34,1.71493781915933
0.86,0.86,0.64,0.12,2.84984768796939
0.96,0.86,0.38,0.18,2.05591660278667
0.96,0.74,0.36,0.18,2.22207185576461
0.88,0.88,0.38,0.28,1.64899489266051
0.92,0.72,0.54,0.2,2.59006459814089
0.9,0.8,0.36,0.16,2.11070901941509
0.92,0.84,0.4,0.24,1.89016217560991
0.92,0.86,0.48,0.1,2.60562625060487
0.9,0.86,0.44,0.2,2.05581390280513
0.86,0.72,0.44,0.26,2.02648431683375
0.84,0.88,0.54,0.18,2.25662582762169
0.82,0.82,0.44,0.32,1.67904485179498
0.9,0.82,0.38,0.32,1.6403071983298
0.94,0.86,0.36,0.3,1.64393815578727
0.84,0.8,0.42,0.26,1.8415622697126
0.9,0.78,0.46,0.18,2.32336272419567
0.88,0.84,0.5,0.18,2.28216805148607
0.9,0.72,0.42,0.18,2.34199975238803
0.92,0.8,0.46,0.18,2.30943111334804
0.92,0.92,0.42,0.24,1.82623814954213
0.9,0.78,0.36,0.18,2.06903841289343
0.9,0.88,0.54,0.22,2.17941045840249
0.88,0.88,0.52,0.12,2.51306109590903
0.9,0.8,0.42,0.16,2.2663768739248
0.86,0.94,0.44,0.18,1.9534995815545
0.96,0.88,0.36,0.14,2.12067934208451
0.96,0.8,0.54,0.18,2.55986558702056
0.86,0.88,0.44,0.2,1.97876952297152
0.86,0.86,0.42,0.16,2.10377801843035
1,0.88,0.46,0.16,2.33749382673512
0.88,0.8,0.44,0.24,1.99233644859813
0.86,0.8,0.38,0.26,1.77622205846229
0.9,0.76,0.54,0.16,2.67107550088813
0.9,0.76,0.56,0.18,2.6226167096116
0.9,0.88,0.52,0.22,2.13553898460044
0.92,0.84,0.4,0.22,1.95210808467132
0.84,0.74,0.38,0.22,1.96540146239151
0.9,0.88,0.52,0.32,1.84253623643095
0.92,0.78,0.28,0.28,1.59680753417866
0.9,0.88,0.52,0.22,2.13553898460044
0.92,0.78,0.56,0.26,2.26869541484716
0.82,0.84,0.44,0.16,2.13890851236873
0.94,0.88,0.6,0.2,2.43260919719073
0.9,0.84,0.52,0.18,2.35492620502201
0.96,0.72,0.34,0.16,2.29790529917692
0.94,0.92,0.56,0.32,1.90774757765278
0.88,0.82,0.52,0.3,1.95166025462674
0.9,0.72,0.5,0.18,2.55648251319804
0.94,0.82,0.42,0.18,2.19760142551841
0.86,0.8,0.52,0.24,2.15001869158878
0.92,0.88,0.5,0.18,2.25736364871949
0.9,0.82,0.54,0.18,2.44311319710937
0.86,0.84,0.3,0.2,1.71389476130917
0.86,0.8,0.56,0.34,1.92544380056228
0.96,0.96,0.48,0.22,1.99613995247286
0.9,0.86,0.42,0.1,2.41211762551822
0.86,0.94,0.42,0.3,1.5978588119488
0.86,0.88,0.54,0.32,1.84223818786472
0.86,0.74,0.46,0.18,2.35270877897586
0.94,0.88,0.32,0.18,1.85930916645632
0.86,0.8,0.44,0.24,1.96960747663551
0.9,0.7,0.48,0.24,2.27831992024389
0.92,0.8,0.46,0.22,2.15330361209645
0.9,0.82,0.42,0.28,1.82305234519212
0.94,0.92,0.5,0.16,2.28647255417707
0.88,0.88,0.56,0.24,2.13332460680267
0.86,0.82,0.46,0.18,2.19682694043453
0.88,0.86,0.56,0.26,2.09868948916823
0.9,0.86,0.52,0.12,2.5847650245051
0.94,0.86,0.46,0.24,2.0138494816979
0.8,0.8,0.36,0.3,1.56727418629251
0.86,0.82,0.4,0.16,2.12505094970245
0.92,0.74,0.38,0.2,2.13994888013864
0.86,0.8,0.46,0.34,1.73161741924379
0.88,0.9,0.46,0.16,2.15563968188945
0.9,0.88,0.46,0.26,1.88408086915539
0.94,0.86,0.28,0.32,1.44488102291016
0.94,0.84,0.44,0.28,1.88042439956332
0.9,0.86,0.38,0.26,1.74330876744624
0.84,0.94,0.34,0.14,1.82569994732341
0.88,0.84,0.54,0.36,1.80818246732325
0.86,0.8,0.38,0.14,2.19278589099034
0.88,0.82,0.3,0.22,1.70649066162242
0.92,0.84,0.48,0.26,2.00173313272531
0.86,0.78,0.58,0.28,2.17608142364245
0.88,0.78,0.5,0.24,2.16046430285431
0.88,0.7,0.44,0.26,2.08241696902037
0.9,0.76,0.52,0.18,2.51911381274377
0.9,0.74,0.5,0.28,2.10857947806233
0.9,0.86,0.48,0.22,2.07850849673892
0.92,0.86,0.56,0.22,2.27906633414355
0.92,0.86,0.44,0.32,1.73228736093992
0.9,0.86,0.4,0.26,1.78513763830694
0.82,0.9,0.4,0.18,1.87545943584282
0.92,0.84,0.52,0.2,2.29868728347372
0.86,0.8,0.46,0.18,2.23382825337143
0.94,0.86,0.42,0.26,1.86912474121621
0.84,0.9,0.46,0.28,1.74528758758642
0.88,0.8,0.5,0.16,2.44778508232981
0.84,0.82,0.48,0.24,2.00660197954175
0.92,0.88,0.5,0.3,1.87521630632893
0.9,0.84,0.46,0.2,2.13491593522751
0.9,0.92,0.5,0.22,2.03162802196832
0.92,0.84,0.44,0.2,2.11173032862187
0.86,0.78,0.42,0.22,2.02130040441321
0.94,0.8,0.38,0.24,1.92521495327103
0.94,0.84,0.6,0.26,2.27767298046081
0.94,0.82,0.48,0.18,2.34514083399815
0.92,0.82,0.54,0.26,2.15987656523135
0.84,0.74,0.5,0.26,2.10934651237022
0.86,0.92,0.34,0.26,1.55190209062462
0.92,0.82,0.5,0.26,2.0737933002747
0.96,0.76,0.5,0.18,2.54560077454065
0.9,0.82,0.46,0.32,1.79773702201231
0.92,0.84,0.38,0.3,1.6858946601264
0.9,0.88,0.36,0.16,1.97279743651587
0.86,0.84,0.32,0.24,1.64889421008713
0.9,0.92,0.48,0.22,1.98901584050011
0.94,0.84,0.42,0.3,1.78597203588153
0.88,0.86,0.44,0.2,2.03262530749679
0.88,0.86,0.42,0.26,1.80588739314334
0.88,0.9,0.52,0.24,2.01936740746256
0.9,0.88,0.46,0.34,1.68280255888466
0.94,0.86,0.36,0.22,1.85621187276246
0.88,0.82,0.36,0.16,2.04875471379099
0.8,0.88,0.54,0.24,2.00509746863484
0.9,0.82,0.5,0.18,2.34475359145621
0.88,0.78,0.46,0.28,1.94004337644705
0.9,0.82,0.6,0.16,2.68643062235628
0.86,0.94,0.44,0.3,1.63530632424211
0.92,0.8,0.32,0.26,1.71122574306067
0.9,0.86,0.42,0.18,2.07915576949091
0.9,0.74,0.38,0.26,1.90427615384199
0.9,0.86,0.42,0.26,1.82696650916763
0.98,0.86,0.38,0.14,2.23409981171029
0.9,0.82,0.52,0.2,2.31152182041558
0.82,0.78,0.34,0.24,1.72483738283294
0.86,0.76,0.28,0.26,1.60506917230337
0.84,0.78,0.56,0.32,1.98772113329392
0.98,0.84,0.38,0.26,1.85374118048945
0.88,0.86,0.54,0.28,1.99632502277332
0.82,0.78,0.38,0.28,1.70332900246885
0.82,0.88,0.42,0.24,1.77140936826631
0.9,0.84,0.42,0.22,1.97453383400289
0.84,0.96,0.48,0.24,1.81634810433988
0.92,0.88,0.62,0.32,2.05087218422539
0.96,0.82,0.48,0.26,2.07413221076665
0.98,0.8,0.32,0.24,1.83536448598131
0.9,0.84,0.42,0.24,1.91187629250696
0.96,0.84,0.5,0.28,2.0246486080786
0.86,0.74,0.36,0.22,1.94112773329316
0.96,0.86,0.5,0.28,1.99696435824899
0.88,0.78,0.42,0.16,2.28007604015871
0.9,0.84,0.42,0.24,1.91187629250696
0.9,0.88,0.48,0.22,2.04779603699635
0.88,0.84,0.44,0.32,1.71580148002336
0.92,0.8,0.46,0.14,2.48996887718458
0.86,0.9,0.44,0.22,1.88793959559765
0.92,0.84,0.4,0.22,1.95210808467132
0.9,0.78,0.5,0.18,2.42509244871656
0.9,0.72,0.6,0.18,2.82458596421055
0.92,0.84,0.4,0.16,2.16496387630678
0.9,0.84,0.44,0.26,1.89549963202327
0.9,0.78,0.48,0.26,2.06905021834061
0.84,0.84,0.56,0.24,2.15211025246321
0.84,0.8,0.4,0.28,1.74271034361763
0.82,0.86,0.42,0.2,1.91704465275678
0.9,0.88,0.44,0.24,1.89963650643414
0.88,0.86,0.46,0.22,2.01153900907408
0.88,0.8,0.36,0.32,1.602356663833
0.88,0.86,0.34,0.22,1.74436230959449
0.84,0.78,0.58,0.24,2.29749926113917
0.92,0.86,0.36,0.3,1.62406432844115
0.92,0.9,0.5,0.22,2.08299718454057
0.82,0.82,0.5,0.24,2.02864101801999
0.88,0.84,0.44,0.3,1.7655159685102
0.92,0.88,0.38,0.22,1.85054712722494
0.9,0.82,0.48,0.28,1.94827011038379
