PPV,algorithm,prop_exp,pi_ne,risk,SE_exposed,comb
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0.5,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0.5,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
0,A_e,0.01,0.01,0.5,0.15,0.01_0.01_0.5
