Power,combination
0.824,0.01_0.01_0.5_0.15
0.794,0.01_0.01_0.5_0.3
0.84,0.01_0.01_0.5_0.4
0.492,0.01_0.01_0.5_0.5
0.816,0.01_0.01_0.5_0.6
0.522,0.01_0.01_0.5_0.7
0.419,0.01_0.01_0.5_0.85
0.887,0.01_0.01_0.9_0.15
0.534,0.01_0.01_0.9_0.3
0.524,0.01_0.01_0.9_0.4
0.372,0.01_0.01_0.9_0.5
0.411,0.01_0.01_0.9_0.6
0.605,0.01_0.01_0.9_0.7
0.442,0.01_0.01_0.9_0.85
0.503,0.01_0.01_1.1_0.15
0.758,0.01_0.01_1.1_0.3
0.472,0.01_0.01_1.1_0.4
0.348,0.01_0.01_1.1_0.5
0.324,0.01_0.01_1.1_0.6
0.338,0.01_0.01_1.1_0.7
0.294,0.01_0.01_1.1_0.85
0.584,0.01_0.01_2_0.15
0.251,0.01_0.01_2_0.3
0.363,0.01_0.01_2_0.4
0.233,0.01_0.01_2_0.5
0.177,0.01_0.01_2_0.6
0.377,0.01_0.01_2_0.7
0.355,0.01_0.01_2_0.85
0.873,0.01_0.05_0.5_0.15
0.552,0.01_0.05_0.5_0.3
0.631,0.01_0.05_0.5_0.4
0.55,0.01_0.05_0.5_0.5
0.653,0.01_0.05_0.5_0.6
0.402,0.01_0.05_0.5_0.7
0.486,0.01_0.05_0.5_0.85
0.575,0.01_0.05_0.9_0.15
0.487,0.01_0.05_0.9_0.3
0.404,0.01_0.05_0.9_0.4
0.383,0.01_0.05_0.9_0.5
0.637,0.01_0.05_0.9_0.6
0.345,0.01_0.05_0.9_0.7
0.595,0.01_0.05_0.9_0.85
0.816,0.01_0.05_1.1_0.15
0.379,0.01_0.05_1.1_0.3
0.373,0.01_0.05_1.1_0.4
0.465,0.01_0.05_1.1_0.5
0.296,0.01_0.05_1.1_0.6
0.312,0.01_0.05_1.1_0.7
0.514,0.01_0.05_1.1_0.85
0.58,0.01_0.05_2_0.15
0.439,0.01_0.05_2_0.3
0.384,0.01_0.05_2_0.4
0.253,0.01_0.05_2_0.5
0.179,0.01_0.05_2_0.6
0.188,0.01_0.05_2_0.7
0.37,0.01_0.05_2_0.85
0.625,0.01_0.1_0.5_0.15
0.815,0.01_0.1_0.5_0.3
0.565,0.01_0.1_0.5_0.4
0.767,0.01_0.1_0.5_0.5
0.441,0.01_0.1_0.5_0.6
0.421,0.01_0.1_0.5_0.7
0.42,0.01_0.1_0.5_0.85
0.778,0.01_0.1_0.9_0.15
0.502,0.01_0.1_0.9_0.3
0.422,0.01_0.1_0.9_0.4
0.359,0.01_0.1_0.9_0.5
0.393,0.01_0.1_0.9_0.6
0.367,0.01_0.1_0.9_0.7
0.391,0.01_0.1_0.9_0.85
0.533,0.01_0.1_1.1_0.15
0.381,0.01_0.1_1.1_0.3
0.602,0.01_0.1_1.1_0.4
0.418,0.01_0.1_1.1_0.5
0.285,0.01_0.1_1.1_0.6
0.497,0.01_0.1_1.1_0.7
0.358,0.01_0.1_1.1_0.85
0.435,0.01_0.1_2_0.15
0.344,0.01_0.1_2_0.3
0.18,0.01_0.1_2_0.4
0.178,0.01_0.1_2_0.5
0.273,0.01_0.1_2_0.6
0.238,0.01_0.1_2_0.7
0.329,0.01_0.1_2_0.85
0.615,0.1_0.01_0.5_0.15
0.215,0.1_0.01_0.5_0.3
0.113,0.1_0.01_0.5_0.4
0.041,0.1_0.01_0.5_0.5
0.064,0.1_0.01_0.5_0.6
0.129,0.1_0.01_0.5_0.7
0.316,0.1_0.01_0.5_0.85
0.71,0.1_0.01_0.9_0.15
0.249,0.1_0.01_0.9_0.3
0.099,0.1_0.01_0.9_0.4
0.0510000000000001,0.1_0.01_0.9_0.5
0.091,0.1_0.01_0.9_0.6
0.238,0.1_0.01_0.9_0.7
0.495,0.1_0.01_0.9_0.85
0.758,0.1_0.01_1.1_0.15
0.295,0.1_0.01_1.1_0.3
0.09,0.1_0.01_1.1_0.4
0.0470000000000001,0.1_0.01_1.1_0.5
0.087,0.1_0.01_1.1_0.6
0.241,0.1_0.01_1.1_0.7
0.609,0.1_0.01_1.1_0.85
0.949,0.1_0.01_2_0.15
0.398,0.1_0.01_2_0.3
0.108,0.1_0.01_2_0.4
0.053,0.1_0.01_2_0.5
0.277,0.1_0.01_2_0.6
0.664,0.1_0.01_2_0.7
0.972,0.1_0.01_2_0.85
0.583,0.1_0.05_0.5_0.15
0.228,0.1_0.05_0.5_0.3
0.101,0.1_0.05_0.5_0.4
0.075,0.1_0.05_0.5_0.5
0.075,0.1_0.05_0.5_0.6
0.128,0.1_0.05_0.5_0.7
0.306,0.1_0.05_0.5_0.85
0.711,0.1_0.05_0.9_0.15
0.31,0.1_0.05_0.9_0.3
0.103,0.1_0.05_0.9_0.4
0.0620000000000001,0.1_0.05_0.9_0.5
0.083,0.1_0.05_0.9_0.6
0.229,0.1_0.05_0.9_0.7
0.526,0.1_0.05_0.9_0.85
0.757,0.1_0.05_1.1_0.15
0.301,0.1_0.05_1.1_0.3
0.116,0.1_0.05_1.1_0.4
0.0610000000000001,0.1_0.05_1.1_0.5
0.111,0.1_0.05_1.1_0.6
0.303,0.1_0.05_1.1_0.7
0.642,0.1_0.05_1.1_0.85
0.959,0.1_0.05_2_0.15
0.44,0.1_0.05_2_0.3
0.13,0.1_0.05_2_0.4
0.075,0.1_0.05_2_0.5
0.32,0.1_0.05_2_0.6
0.7,0.1_0.05_2_0.7
0.976,0.1_0.05_2_0.85
0.599,0.1_0.1_0.5_0.15
0.214,0.1_0.1_0.5_0.3
0.106,0.1_0.1_0.5_0.4
0.0560000000000001,0.1_0.1_0.5_0.5
0.07,0.1_0.1_0.5_0.6
0.142,0.1_0.1_0.5_0.7
0.339,0.1_0.1_0.5_0.85
0.727,0.1_0.1_0.9_0.15
0.276,0.1_0.1_0.9_0.3
0.116,0.1_0.1_0.9_0.4
0.0600000000000001,0.1_0.1_0.9_0.5
0.088,0.1_0.1_0.9_0.6
0.237,0.1_0.1_0.9_0.7
0.579,0.1_0.1_0.9_0.85
0.76,0.1_0.1_1.1_0.15
0.308,0.1_0.1_1.1_0.3
0.106,0.1_0.1_1.1_0.4
0.049,0.1_0.1_1.1_0.5
0.126,0.1_0.1_1.1_0.6
0.317,0.1_0.1_1.1_0.7
0.698,0.1_0.1_1.1_0.85
0.971,0.1_0.1_2_0.15
0.471,0.1_0.1_2_0.3
0.135,0.1_0.1_2_0.4
0.0629999999999999,0.1_0.1_2_0.5
0.345,0.1_0.1_2_0.6
0.765,0.1_0.1_2_0.7
0.993,0.1_0.1_2_0.85
