PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.82,0.84,0.46,0.38,1,1,1.22283160559476
0.76,0.84,0.44,0.4,1,1,1.08458920232252
0.76,0.85,0.53,0.52,1,1,1.03244193996721
0.78,0.8,0.46,0.41,1,1,1.15676736842536
0.75,0.84,0.49,0.5,1,0.98,0.980591662239817
0.8,0.8,0.54,0.42,1,1,1.34090890873774
0.79,0.85,0.48,0.46,1,0.98,1.0468568681898
0.79,0.8,0.43,0.44,1,0.98,1.01012853496527
0.8,0.79,0.45,0.44,1,1,1.08072256352884
0.78,0.9,0.41,0.45,1,1,0.884475658831179
0.82,0.81,0.53,0.44,1,1,1.26399106748853
0.77,0.85,0.55,0.41,1,1,1.32626311210637
0.79,0.86,0.49,0.35,1,1,1.35319680923276
0.77,0.88,0.5,0.44,1,1,1.10978449799313
0.79,0.87,0.53,0.45,1,0.98,1.16204344282492
0.82,0.87,0.49,0.39,1,1,1.24296618527175
0.84,0.85,0.39,0.41,1,1,0.977793197343279
0.78,0.78,0.52,0.33,1,1,1.61657929680053
0.82,0.83,0.46,0.5,1,1,0.967132232782312
0.78,0.85,0.48,0.38,1,1,1.24058088131104
0.72,0.81,0.52,0.36,1,1,1.4168048553237
0.79,0.88,0.49,0.43,1,1,1.11967372372428
0.84,0.82,0.49,0.42,1,1,1.22212221222122
0.76,0.88,0.53,0.48,1,0.98,1.07788933531702
0.8,0.8,0.49,0.42,1,1,1.21754975646119
0.79,0.77,0.45,0.39,1,1,1.21932330386934
0.77,0.84,0.49,0.49,1,1,1.01666114048975
0.78,0.83,0.54,0.47,1,1,1.17637295212785
0.75,0.79,0.42,0.45,1,1,0.9613661417721
0.76,0.82,0.49,0.37,1,1,1.31545966433167
0.81,0.9,0.52,0.47,1,1,1.09645128547896
0.79,0.78,0.47,0.44,1,1,1.13109763231306
0.8,0.86,0.44,0.4,1,1,1.09123417544439
0.83,0.86,0.55,0.39,1,1,1.40934840528726
0.74,0.84,0.5,0.33,1,1,1.44197822358713
0.76,0.83,0.5,0.38,1,1,1.30101325775127
0.8,0.84,0.47,0.4,1,0.98,1.17091851764567
0.81,0.87,0.58,0.5,1,1,1.18013117464902
0.84,0.78,0.46,0.36,1,1,1.36274635250059
0.77,0.91,0.52,0.44,1,1,1.13112539742965
0.79,0.86,0.42,0.53,1,1,0.810814135435225
0.81,0.77,0.52,0.35,1,1,1.56859223269607
0.79,0.86,0.55,0.37,1,1,1.44909775560032
0.83,0.81,0.5,0.42,1,1,1.25008253395825
0.78,0.8,0.5,0.46,1,1,1.13341978793195
0.76,0.81,0.51,0.41,1,1,1.26120658590971
0.82,0.81,0.46,0.37,1,1,1.28292357226583
0.79,0.85,0.49,0.41,1,1,1.19202878552523
0.81,0.87,0.42,0.4,1,1,1.03991336347276
0.76,0.81,0.44,0.38,1,1,1.16188011124267
0.8,0.85,0.47,0.39,1,1,1.19980461889708
0.8,0.77,0.46,0.43,1,0.98,1.1335367371694
0.8,0.85,0.41,0.42,1,1,0.982827342916456
0.79,0.83,0.51,0.42,1,1,1.23299369263584
0.76,0.79,0.43,0.43,1,1,1.03208022031598
0.73,0.86,0.53,0.42,1,1,1.22008994736035
0.8,0.8,0.46,0.49,1,1,0.994274709408689
0.77,0.85,0.48,0.38,1,1,1.23450326117913
0.76,0.82,0.51,0.45,1,1,1.15210937490332
0.76,0.82,0.52,0.44,1,1,1.19877782407232
0.78,0.88,0.5,0.42,1,0.98,1.14909052807001
0.76,0.87,0.48,0.37,1,1,1.236535876086
0.84,0.77,0.46,0.41,1,0.98,1.20783578270695
0.77,0.89,0.54,0.37,1,0.98,1.36258936209424
0.72,0.77,0.43,0.45,1,1,0.982414915640336
0.81,0.82,0.49,0.44,1,1,1.15617337727106
0.77,0.88,0.52,0.45,1,0.98,1.12233815349604
0.86,0.8,0.51,0.39,1,1,1.39111662552275
