PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.92,0.78,0.58,0.4,1,1,2.1402089461636
0.84,0.8,0.58,0.44,1,1,1.82627342272869
0.9,0.84,0.62,0.48,1,1,1.81928033009843
0.96,0.78,0.56,0.56,1,1,1.56509860589868
0.8,0.74,0.62,0.38,1,1,2.2674930790526
0.92,0.78,0.62,0.36,1,1,2.49554185846922
0.88,0.84,0.62,0.44,1,1,1.93876585744727
0.9,0.88,0.4,0.46,1,0.96,1.23853179500448
0.92,0.9,0.6,0.46,1,0.96,1.75631046017539
0.92,0.82,0.62,0.52,1,1,1.73747737529524
0.9,0.76,0.74,0.3,1,1,3.46861882307926
0.94,0.82,0.5,0.5,1,1,1.51880569326435
0.94,0.74,0.54,0.44,1,1,1.9283071540137
0.82,0.76,0.56,0.4,1,1,1.96013746893398
0.92,0.8,0.62,0.4,1,1,2.23224275584836
0.9,0.88,0.54,0.38,1,1,1.91529171907498
0.94,0.8,0.62,0.46,1,1,1.99332642680847
0.9,0.88,0.48,0.46,1,1,1.47090775630046
0.88,0.84,0.48,0.44,1,1,1.545431461972
0.96,0.8,0.58,0.38,1,1,2.26589355490155
0.9,0.84,0.6,0.42,1,1,1.98793728007966
0.94,0.76,0.56,0.4,1,1,2.14025406381003
0.98,0.92,0.46,0.46,1,1,1.47621977103967
0.92,0.8,0.58,0.4,1,1,2.10621964156105
0.84,0.84,0.58,0.44,1,1,1.77454543644076
0.96,0.82,0.5,0.34,1,0.96,2.11842308715202
0.92,0.9,0.64,0.46,1,1,1.89089378691149
0.92,0.8,0.66,0.38,1,1,2.46890553443202
0.96,0.86,0.54,0.3,1,1,2.47496796849049
0.9,0.76,0.46,0.4,1,1,1.75482208037089
0.96,0.84,0.58,0.38,1,1,2.19297119178605
0.96,0.88,0.54,0.42,1,1,1.8390848023696
0.92,0.84,0.6,0.58,1,1,1.51157321402519
0.88,0.84,0.56,0.42,1,0.96,1.80817103901421
0.9,0.88,0.72,0.6,1,1,1.66587627837919
0.86,0.84,0.58,0.42,1,0.96,1.83909150780513
0.9,0.86,0.7,0.34,1,1,2.68858061676163
0.86,0.82,0.58,0.46,1,1,1.75518118368813
0.88,0.82,0.48,0.36,1,1,1.87100779679509
0.96,0.9,0.5,0.34,1,1,2.02367461728891
0.9,0.86,0.44,0.36,1,1,1.70776936951638
0.9,0.76,0.54,0.34,1,1,2.34005283193218
0.9,0.7,0.56,0.48,1,1,1.83129392594172
0.98,0.82,0.56,0.38,1,1,2.19387907639943
0.88,0.86,0.72,0.46,1,1,2.10574665955045
0.92,0.76,0.64,0.42,1,1,2.26568566665289
0.94,0.82,0.54,0.32,1,1,2.40161896849151
0.92,0.84,0.62,0.44,1,1,1.99060502260371
0.94,0.72,0.56,0.36,1,0.96,2.3871127489758
0.9,0.8,0.54,0.4,1,1,1.95113059014014
0.9,0.88,0.54,0.52,1,1,1.46436787388905
0.86,0.92,0.6,0.44,1,1,1.75711727842435
0.86,0.72,0.52,0.32,1,1,2.4167121348414
0.88,0.92,0.52,0.4,1,1,1.6973192576092
0.94,0.86,0.54,0.34,1,1,2.20023354772444
0.96,0.78,0.52,0.48,1,1,1.6979241402975
0.94,0.86,0.58,0.34,1,1,2.33823457484532
0.92,0.88,0.52,0.42,1,1,1.72978296295737
0.88,0.88,0.62,0.42,1,1,1.96159474496825
0.9,0.82,0.58,0.44,1,1,1.87891367751222
0.92,0.82,0.64,0.44,1,1,2.07619913387119
0.86,0.88,0.6,0.36,1,1,2.1378335769771
0.96,0.82,0.68,0.6,1,1,1.69356970019392
0.94,0.88,0.62,0.36,1,1,2.32191360678763
0.82,0.74,0.68,0.42,1,1,2.28240847018247
0.92,0.84,0.76,0.48,1,1,2.20750559000484
0.9,0.88,0.62,0.44,1,1,1.91056981422575
0.82,0.86,0.56,0.42,1,0.96,1.70409268189976
0.98,0.86,0.72,0.38,1,1,2.62706202642289
0.96,0.88,0.6,0.36,1,1,2.28705821652765
0.94,0.94,0.54,0.34,1,1,2.0571332212962
0.9,0.74,0.48,0.36,1,1,2.04246603267464
0.94,0.84,0.6,0.46,1,1,1.88500491912763
0.92,0.9,0.58,0.48,1,1,1.67338320650643
0.86,0.78,0.62,0.42,1,1,2.08472966813535
0.96,0.9,0.62,0.38,1,1,2.2137923218892
0.9,0.8,0.7,0.3,1,1,3.16421722940764
0.94,0.74,0.66,0.5,1,1,2.02931531163833
0.8,0.92,0.48,0.32,1,1,1.76496151056555
0.88,0.84,0.64,0.4,1,1,2.16825307496253
0.96,0.84,0.52,0.4,1,1,1.91450711313373
0.92,0.78,0.44,0.44,1,1,1.55077644636371
0.94,0.74,0.46,0.62,1,1,1.21581269218289
0.92,1,0.54,0.4,1,1,1.70881453108815
0.84,0.9,0.64,0.48,1,1,1.7311994180231
0.86,0.88,0.6,0.36,1,1,2.1378335769771
0.94,0.78,0.62,0.46,1,1,2.0216276922309
0.96,0.84,0.56,0.34,1,0.96,2.28758718147422
0.86,0.88,0.56,0.4,1,1,1.83917622107429
0.92,0.8,0.48,0.34,1,1,2.06936699552669
0.94,0.86,0.52,0.28,1,1,2.49915223555305
0.96,0.84,0.7,0.28,1,1,3.33264783372365
0.92,0.9,0.58,0.54,1,1,1.51189493343166
0.92,0.92,0.5,0.44,1,1,1.56481647269472
0.86,0.82,0.6,0.4,1,0.96,2.00747190633201
0.88,0.68,0.64,0.36,1,1,2.74464689362285
0.94,0.86,0.54,0.48,1,1,1.63767835649228
0.88,0.84,0.58,0.46,1,1,1.75620276859514
0.92,0.82,0.62,0.26,1,1,3.17897892167386
0.92,0.76,0.56,0.34,1,1,2.45048429271167
0.94,0.78,0.54,0.38,1,1,2.13909378919276
0.92,0.9,0.6,0.42,1,1,1.92954375021727
0.92,0.8,0.6,0.34,1,1,2.50615846559225
0.92,0.86,0.64,0.46,1,1,1.94170212966943
0.92,0.8,0.68,0.48,1,1,2.05322986894932
0.92,0.84,0.58,0.32,1,1,2.47061096448429
0.92,0.82,0.7,0.3,1,1,3.13746104271552
0.88,0.86,0.52,0.44,1,1,1.63466235305958
0.88,0.86,0.58,0.52,1,1,1.55567901103678
0.92,0.86,0.6,0.52,1,1,1.64769669532766
0.94,0.8,0.56,0.46,1,1,1.8266938006147
0.88,0.78,0.52,0.48,1,1,1.59798724873603
0.88,0.8,0.68,0.42,1,1,2.26178751873632
0.9,0.86,0.54,0.38,1,1,1.94562318711481
0.94,0.7,0.54,0.4,1,1,2.1825729664165
0.92,0.88,0.68,0.44,1,1,2.099704174958
0.88,0.82,0.66,0.48,1,1,1.92458206908794
0.84,0.82,0.46,0.42,1,1,1.51965196519652
0.9,0.82,0.54,0.48,1,1,1.63256182247542
0.94,0.8,0.6,0.28,1,1,3.00675061664287
0.88,0.86,0.48,0.46,1,1,1.46608068088965
0.9,0.92,0.58,0.44,1,1,1.75299910474485
0.9,0.86,0.56,0.4,1,1,1.92254461252322
0.94,0.84,0.72,0.36,1,1,2.73460111647091
0.96,0.96,0.82,0.44,1,1,2.4003827110073
0.86,0.84,0.62,0.28,1,1,2.81176083138173
0.94,0.78,0.66,0.44,1,1,2.22336904665958
0.9,0.92,0.42,0.5,1,1,1.19229654330444
0.9,0.84,0.48,0.34,1,1,1.96372562134651
0.84,0.92,0.5,0.34,1,1,1.80872470547219
0.86,0.76,0.48,0.46,1,1,1.54529735367759
0.94,0.94,0.58,0.42,1,1,1.84716104478189
0.9,0.84,0.62,0.36,1,1,2.33849098645301
0.94,0.9,0.58,0.46,1,1,1.75910713300094
0.88,0.86,0.62,0.38,1,1,2.16797407817746
0.92,0.86,0.7,0.42,1,1,2.27403792098942
0.9,0.82,0.46,0.52,1,1,1.32249085777236
0.9,0.78,0.6,0.46,1,1,1.91332451521126
0.9,0.94,0.6,0.48,1,1,1.65850017847292
0.88,0.84,0.46,0.32,1,1,1.95894376297538
0.88,0.8,0.52,0.34,1,1,2.14780317421411
0.82,0.86,0.64,0.38,1,1,2.14385609379958
0.86,0.8,0.62,0.42,1,1,2.05304149644778
0.9,0.78,0.56,0.42,1,1,1.95750765090183
0.9,0.86,0.64,0.48,1,1,1.84708952693863
0.88,0.86,0.64,0.44,1,1,1.96709810919677
0.84,0.82,0.7,0.4,1,1,2.33100582838017
0.92,0.88,0.56,0.52,1,1,1.53347412705796
0.98,0.86,0.6,0.48,1,1,1.83913501509673
0.92,0.82,0.68,0.52,1,1,1.88461346248699
0.88,0.86,0.54,0.3,1,1,2.33379883534109
0.92,0.86,0.52,0.46,1,1,1.62186914033903
0.94,0.76,0.54,0.52,1,1,1.6241492914523
0.9,0.84,0.66,0.5,1,1,1.85471132322507
0.86,0.82,0.5,0.38,1,1,1.81962076261442
0.94,0.82,0.58,0.38,1,1,2.1989041442436
