PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.84,0.96,0.1,0.24,1.0226615870951
0.94,0.84,0.18,0.24,1.33668643732701
0.92,0.92,0.18,0.3,1.13888410102042
0.96,0.82,0.14,0.26,1.28626951740939
0.9,0.8,0.1,0.28,1.14687269916253
0.84,0.9,0.08,0.2,1.10722479987763
0.96,0.86,0.14,0.18,1.41881041266586
0.88,0.88,0.04,0.22,1.08307010685156
0.96,0.78,0.14,0.32,1.2103420788133
0.96,0.82,0.1,0.36,1.07008913893828
0.92,0.8,0.08,0.24,1.21746001039002
0.86,0.82,0.14,0.2,1.28999177804023
0.92,0.88,0.18,0.12,1.5584636425176
1,0.76,0.02,0.14,1.523845047014
0.92,0.88,0.16,0.3,1.14557198767177
0.9,0.9,0.08,0.2,1.17862642125121
0.86,0.82,0.12,0.2,1.26135376081811
0.92,0.9,0.16,0.28,1.16242307119001
0.92,0.84,0.14,0.22,1.30102780745113
0.82,0.82,0.16,0.18,1.31230448445396
0.9,0.78,0.12,0.22,1.31006299570178
0.94,0.84,0.14,0.26,1.24501111764974
0.9,0.82,0.16,0.24,1.28261177882235
0.94,0.88,0.12,0.24,1.22102502877223
0.86,0.76,0.1,0.34,1.03752769360759
0.92,0.82,0.08,0.22,1.23824377949971
0.9,0.86,0.12,0.22,1.23069230200304
0.82,0.78,0.1,0.28,1.0717678660702
0.92,0.9,0.08,0.22,1.16543000774039
0.9,0.92,0.16,0.2,1.26701087393259
0.92,0.88,0.1,0.2,1.24826073829929
0.84,0.84,0.18,0.32,1.08450762323599
0.88,0.84,0.22,0.22,1.36186582397376
0.9,0.8,0.1,0.3,1.11325163864349
0.78,0.88,0.24,0.16,1.35783222926167
0.92,0.82,0.2,0.34,1.17415029982895
0.84,0.82,0.12,0.2,1.23601595483007
0.84,0.86,0.1,0.16,1.25155367608082
0.96,0.86,0.08,0.24,1.20991308621094
0.86,0.84,0.1,0.28,1.07068814241646
0.86,0.8,0.06,0.26,1.08311514775634
0.94,0.88,0.1,0.2,1.2724278382146
0.94,0.84,0.08,0.24,1.20456043231844
0.88,0.86,0.08,0.34,0.968909686611226
0.96,0.84,0.1,0.3,1.14705498079498
0.82,0.86,0.08,0.28,0.987943575837037
0.96,0.8,0.2,0.3,1.3033952445265
0.94,0.76,0.12,0.18,1.48481284774124
0.84,0.84,0.06,0.22,1.09539448443922
0.92,0.92,0.1,0.28,1.07632846700237
0.86,0.86,0.02,0.36,0.858369098712446
0.98,0.92,0.14,0.26,1.21985380940896
0.88,0.78,0.12,0.26,1.20353628529712
0.88,0.86,0.1,0.24,1.14380333411082
0.84,0.78,0.1,0.32,1.03152404880885
0.92,0.96,0.1,0.18,1.2126441801946
0.96,0.84,0.08,0.32,1.09175726769122
0.98,0.86,0.1,0.26,1.22145593097331
0.9,0.74,0.08,0.24,1.25099789512061
0.82,0.86,0.12,0.2,1.17280276391436
0.94,0.86,0.18,0.1,1.67797067839954
0.88,0.9,0.06,0.22,1.09322070928597
0.86,0.8,0.14,0.3,1.11897704040542
0.94,0.84,0.12,0.3,1.1498396728951
0.96,0.86,0.14,0.26,1.24962805418918
0.9,0.9,0.16,0.22,1.24665311405005
0.92,0.82,0.08,0.18,1.32486597021245
0.96,0.9,0.1,0.32,1.07262381944423
0.86,0.74,0.14,0.3,1.16805905348048
0.92,0.78,0.2,0.32,1.24044806042089
0.92,0.92,0.12,0.36,0.989833753966697
0.82,0.9,0.22,0.26,1.16114514657355
0.82,0.8,0.06,0.22,1.10525810477806
0.9,0.8,0.04,0.34,0.98119873238098
0.92,0.88,0.02,0.2,1.13900142454334
0.86,0.94,0.08,0.28,0.977282476477645
0.84,0.82,0.1,0.24,1.13093628059892
0.9,0.82,0.12,0.28,1.1557867048657
0.96,0.92,0.1,0.18,1.29845384089367
0.88,0.82,0.08,0.32,1.02214969941831
0.88,0.86,0.06,0.24,1.09172882648463
0.9,0.88,0.14,0.12,1.46800318823207
0.96,0.82,0.1,0.28,1.19752041864578
0.8,0.74,0.14,0.2,1.29780282405917
0.88,0.88,0.1,0.24,1.12725416634242
0.88,0.82,0.16,0.32,1.11738955909144
0.92,0.86,0.08,0.28,1.09645873433729
0.9,0.9,0.1,0.3,1.04038944316298
0.88,0.9,0.12,0.16,1.29056579120048
0.94,0.88,0.18,0.24,1.29800662682924
0.86,0.78,0.16,0.28,1.19561510984243
0.9,0.88,0.16,0.2,1.30603812370094
0.92,0.82,0.14,0.34,1.10467260009777
0.92,0.78,0.08,0.26,1.19736242969436
0.94,0.86,0.08,0.24,1.18687633473263
0.86,0.78,0.06,0.2,1.21466709256649
0.86,0.86,0.14,0.3,1.07385355617092
0.94,0.86,0.04,0.3,1.03902479859289
0.86,0.74,0.04,0.4,0.900605168091529
0.9,0.9,0.16,0.22,1.24665311405005
0.84,0.72,0.06,0.14,1.40620592285106
0.96,0.76,0.06,0.24,1.27766235018551
0.94,0.9,0.1,0.18,1.29421324704033
0.92,0.84,0.16,0.18,1.41969856389479
0.88,0.86,0.12,0.18,1.28862576706776
0.92,0.8,0.14,0.26,1.25871272527781
0.94,0.74,0.12,0.22,1.40600107528403
0.86,0.82,0.08,0.26,1.09323742320913
0.94,0.84,0.08,0.24,1.20456043231844
0.92,0.9,0.12,0.2,1.25622801203284
0.8,0.86,0.1,0.26,1.02030582211112
0.8,0.8,0.16,0.28,1.11043509251345
0.88,0.86,0.06,0.28,1.02852285190346
0.86,0.88,0.1,0.2,1.17575943855335
0.94,0.86,0.18,0.2,1.40329980467291
0.92,0.8,0.08,0.18,1.34738369033565
0.88,0.8,0.14,0.28,1.175413550803
0.9,0.72,0.12,0.28,1.24428306534553
0.88,0.74,0.12,0.22,1.32757254630088
0.92,0.88,0.1,0.28,1.10569568008805
0.9,0.8,0.16,0.18,1.44128781841986
0.9,0.78,0.06,0.2,1.26703387733967
0.82,0.8,0.06,0.18,1.18389132423332
0.86,0.86,0.14,0.26,1.13787799371018
0.92,0.88,0.2,0.24,1.30096371626686
0.86,0.86,0.1,0.16,1.27781854579591
0.94,0.76,0.12,0.22,1.38296037765061
0.88,0.88,0.08,0.3,1.00985254273323
0.92,0.86,0.14,0.28,1.1700481914385
0.86,0.86,0.1,0.16,1.27781854579591
0.96,0.84,0.08,0.4,0.982764979058559
0.98,0.74,0.1,0.26,1.33559573105609
0.94,0.84,0.04,0.2,1.22831878510075
0.9,0.8,0.08,0.2,1.27534684917505
0.92,0.86,0.18,0.28,1.21910782950596
0.84,0.92,0.16,0.34,0.98176955583922
0.86,0.78,0.1,0.24,1.1906883513883
0.92,0.92,0.14,0.24,1.18955972602167
0.82,0.78,0.1,0.44,0.86075848246921
0.88,0.9,0.1,0.12,1.35360949786646
0.9,0.86,0.12,0.26,1.15731695024595
0.96,0.84,0.12,0.42,1.00010250748119
0.9,0.84,0.1,0.18,1.30644801992435
0.82,0.8,0.06,0.36,0.896784780071449
0.86,0.8,0.12,0.32,1.06297404113204
0.88,0.8,0.08,0.16,1.34177417262813
0.78,0.84,0.12,0.14,1.26809472799898
0.96,0.84,0.1,0.18,1.3838270508456
0.96,0.78,0.08,0.28,1.20661981645007
0.9,0.9,0.1,0.18,1.24505151084815
0.92,0.76,0.12,0.2,1.40545019598801
0.96,0.92,0.04,0.2,1.17835406471914
0.92,0.82,0.04,0.28,1.07719649866845
0.88,0.82,0.1,0.22,1.21692661412449
0.86,0.84,0.08,0.22,1.1468028151922
0.9,0.8,0.16,0.12,1.6134727946711
0.86,0.88,0.08,0.1,1.36910492200966
0.9,0.8,0.2,0.28,1.27483117405641
0.86,0.86,0.12,0.26,1.11261692605435
0.86,0.86,0.14,0.34,1.01665018579259
0.94,0.88,0.16,0.28,1.19968815922223
0.88,0.84,0.12,0.3,1.08570015287844
0.92,0.9,0.1,0.28,1.09081445125822
0.88,0.76,0.16,0.36,1.09987842513794
0.9,0.78,0.02,0.22,1.16708751279368
0.86,0.8,0.12,0.2,1.28205560040187
0.9,0.84,0.1,0.24,1.18422564913668
0.9,0.94,0.08,0.26,1.04713609167253
0.86,0.86,0.04,0.12,1.27832639223701
0.96,0.8,0.16,0.3,1.25371231739502
0.92,0.8,0.14,0.28,1.22069862743716
0.84,0.86,0.14,0.34,0.996681310328555
0.96,0.86,0.12,0.24,1.26198759383713
0.94,0.88,0.1,0.24,1.19536449608657
0.98,0.84,0.02,0.32,1.04206068776467
0.88,0.84,0.16,0.22,1.28003848495947
0.88,0.78,0.06,0.2,1.24085048495308
0.88,0.9,0.04,0.22,1.06714787472222
0.94,0.92,0.12,0.24,1.18668579963917
0.94,0.84,0.1,0.32,1.09446475161554
0.92,0.78,0.08,0.18,1.37068007733157
0.88,0.8,0.24,0.28,1.30337202569688
0.88,0.78,0.12,0.28,1.16665639173896
0.88,0.82,0.04,0.22,1.13382117236119
0.88,0.84,0.16,0.24,1.24012126005009
