PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.8,0.82,0.84,0.84,1,1,1.13887110464411
0.8,0.9,0.9,0.86,1,1,1.10735899155577
0.88,0.96,0.94,0.86,1,1,1.15018238576744
0.78,0.84,0.92,0.8,1,1,1.21533370368599
0.78,0.9,0.86,0.7,1,1,1.17862672300816
0.76,0.9,0.88,0.78,1,1,1.1171257870149
0.88,0.86,0.84,0.78,1,1,1.21439397320542
0.94,0.82,0.82,0.76,1,1,1.30728557586288
0.9,0.8,0.76,0.8,0.96,1,1.20999028466565
0.84,0.82,0.94,0.84,1,1,1.27051412634898
0.82,0.9,0.88,0.8,1,0.96,1.13648364044031
0.88,0.88,0.88,0.82,1,1,1.19961595112616
0.9,0.84,0.9,0.7,1,1,1.39396954664635
0.84,0.88,0.84,0.76,1,0.96,1.16445932476911
0.88,0.82,0.78,0.78,1,1,1.19548918352399
0.84,0.84,0.94,0.8,1,1,1.28494344763986
0.88,0.8,0.88,0.7,1,1,1.40667208332048
0.9,0.94,0.88,0.8,1,1,1.17365632259325
0.8,0.8,0.92,0.74,1,0.96,1.3181754656704
0.86,0.82,0.82,0.76,1,1,1.23799080901724
0.88,0.88,0.86,0.88,1,1,1.13422448537037
0.86,0.84,0.9,0.76,1,1,1.29850498506626
0.92,0.84,0.92,0.92,1,1,1.22607646584386
0.84,0.88,0.86,0.82,1,1,1.14899961934254
0.86,0.88,0.9,0.92,1,1,1.1263021717279
0.84,0.84,0.94,0.88,1,1,1.21555827537602
0.84,0.88,0.82,0.82,0.96,1,1.12418028545216
0.7,0.8,0.86,0.88,1,1,1.06497246274106
0.82,0.82,0.88,0.9,1,1,1.14627572170852
0.76,0.88,0.88,0.78,1,1,1.13594361324146
0.9,0.9,0.84,0.9,1,1,1.09935155885252
0.84,0.82,0.82,0.82,1,1,1.16825684586751
0.9,0.92,0.86,0.78,1,1,1.18968413695171
0.82,0.9,0.84,0.86,1,1,1.06759754343559
0.88,0.8,0.8,0.74,1,1,1.27641193320182
0.84,0.9,0.8,0.72,1,1,1.15120559259812
0.86,0.84,0.84,0.78,1,1,1.21879255165292
0.72,0.8,0.78,0.82,1,1,1.04666845628849
0.84,0.86,0.82,0.8,1,1,1.14517554382357
0.84,0.86,0.96,0.76,1,1,1.31994919236198
0.88,0.84,0.86,0.92,1,1,1.14031163796317
0.9,0.92,0.9,0.88,1,1,1.14984156342964
0.78,0.88,0.92,0.82,1,1,1.15896512628063
0.72,0.84,0.8,0.84,1,1,1.01663383855245
0.86,0.82,0.96,0.68,1,1,1.472912406644
0.86,0.88,0.82,0.82,1,1,1.12659111600463
0.9,0.88,0.88,0.9,1,1,1.15263870334849
0.88,0.82,0.8,0.84,1,1,1.16467442706439
0.84,0.8,0.86,0.76,1,1,1.28576756676115
0.82,0.82,0.92,0.84,1,1,1.23437795562023
0.82,0.84,0.98,0.92,1,1,1.20524694495842
0.9,0.84,0.86,0.88,1,1,1.18673816829759
0.86,0.94,0.98,0.82,1,1,1.21934256307994
0.94,0.8,0.92,0.66,1,1,1.55656875500648
0.84,0.76,0.84,0.84,1,1,1.23448631852238
0.76,0.88,0.86,0.76,1,1,1.13216084078079
0.82,0.78,0.84,0.8,1,0.96,1.21682712939878
0.84,0.94,0.88,0.86,1,1,1.08520292891689
0.8,0.74,0.9,0.88,1,1,1.24783281245067
0.86,0.82,0.9,0.84,1,1,1.24727961683036
0.84,0.88,0.78,0.8,1,0.96,1.07528804085327
0.88,0.84,0.78,0.78,1,1,1.17464924530591
0.9,0.9,0.98,0.82,1,1,1.28968089825069
0.8,0.94,0.84,0.86,1,1,1.02044581291894
0.82,0.8,0.9,0.88,1,1,1.20109993153157
0.86,0.84,0.9,0.86,1,1,1.20965874579658
0.84,0.86,0.86,0.96,1,1,1.06500076419202
0.86,0.98,0.88,0.88,1,1,1.05441431813755
0.84,0.94,0.9,0.76,1,1,1.17736069197635
0.84,0.9,0.9,0.9,1,1,1.10865798620117
0.76,0.88,0.88,0.74,1,1,1.16864004670068
0.82,0.8,0.98,0.82,1,1,1.33527626191804
0.86,0.82,0.88,0.76,1,1,1.3009128013221
0.84,0.86,0.88,0.76,1,1,1.2389695575915
0.8,0.82,0.86,0.9,1,1,1.1116070727464
0.9,0.84,0.82,0.86,1,1,1.16459134107957
0.86,0.92,0.82,0.8,1,1,1.10540662109704
0.9,0.84,0.92,0.84,1,0.96,1.26367192335306
0.82,0.9,0.86,0.74,1,1,1.17805633715491
0.94,0.82,0.84,0.84,1,1,1.25329271250152
0.9,0.84,0.78,0.86,1,1,1.12620472665031
0.88,0.84,0.84,0.88,1,1,1.15216506087693
0.78,0.8,0.98,0.94,1,1,1.1969487973179
0.86,0.86,0.94,0.94,1,1,1.16507402241613
0.82,0.88,0.94,0.82,1,1,1.20958145806424
0.84,0.84,0.84,0.86,1,1,1.13622591208193
0.86,0.94,0.88,0.82,1,1,1.12838082987464
0.8,0.8,0.88,0.76,1,1,1.27184345318017
0.92,0.8,0.96,0.88,1,1,1.34063343489684
0.84,0.88,0.78,0.72,1,0.96,1.13734999218806
0.84,0.76,0.84,0.74,1,0.96,1.3162920755154
0.86,0.88,0.86,0.96,1,1,1.0634607684546
0.92,0.8,0.92,0.74,1,1,1.44237351089128
0.84,0.92,0.82,0.78,1,1,1.10468854760217
0.92,0.88,0.9,0.8,0.96,0.96,1.26669042583622
0.86,0.78,0.86,0.82,1,0.96,1.25347840778876
0.78,0.9,0.86,0.86,1,1,1.05567443181723
0.94,0.9,0.86,0.82,1,1,1.20802854409359
0.84,0.92,0.8,0.92,1,1,0.991756134561981
0.9,0.86,0.86,0.74,1,1,1.28747271224977
0.8,0.9,0.84,0.82,1,1,1.08067491915594
0.78,0.9,0.88,0.8,1,1,1.11768681302662
0.88,0.82,0.76,0.76,1,1,1.19239250842378
0.74,0.9,0.86,0.82,0.96,1,1.06606056875326
0.9,0.88,0.92,0.78,1,1,1.28862629406493
0.92,0.8,0.86,0.84,0.96,1,1.2925441106813
0.8,0.82,0.9,0.82,1,1,1.215390925801
0.92,0.82,0.82,0.78,1,1,1.27095603201102
0.88,0.82,0.94,0.86,1,1,1.28507365157446
0.9,0.78,0.86,0.82,1,1,1.30305608826053
0.8,0.8,0.84,0.8,0.96,1,1.2072998355378
0.8,0.9,0.92,0.8,1,1,1.17147555322313
0.8,0.92,0.94,0.72,1,1,1.23746061839574
0.82,0.84,0.84,0.66,1,1,1.2979957996331
0.88,0.8,0.88,0.82,0.96,1,1.29805150231243
0.72,0.82,0.84,0.78,1,1,1.12093650151528
0.9,0.82,0.82,0.82,1,1,1.21799650334814
0.82,0.98,0.94,0.8,1,1,1.13222381921419
0.96,0.86,0.84,0.8,1,1,1.26236631217516
0.88,0.86,0.9,0.86,1,1,1.20564509831257
0.86,0.82,0.82,0.7,1,0.96,1.27971048857875
0.86,0.86,0.9,0.78,1,1,1.2577809515483
0.82,0.86,0.78,0.8,1,1,1.08956948632288
0.9,0.88,0.9,0.86,1,1,1.20175950408284
0.8,0.96,0.92,0.68,1,1,1.21070348996977
0.88,0.92,0.86,0.9,0.96,1,1.09812035352348
0.84,0.8,0.94,0.76,1,1,1.3712019493759
0.98,0.94,0.88,0.88,1,1,1.17289776781164
0.82,0.82,0.9,0.74,1,1,1.30678099325847
0.86,0.8,0.84,0.86,0.96,1,1.20522676875127
0.82,0.88,0.92,0.88,1,1,1.14379910764947
0.74,0.8,0.9,0.78,1,1,1.22167409898573
0.84,0.8,0.92,0.82,1,0.96,1.27563884156729
0.86,0.86,0.8,0.84,1,1,1.11058971015241
0.86,0.88,0.9,0.8,1,1,1.21953363692302
0.78,0.82,0.8,0.74,1,1,1.16514560985235
0.76,0.82,0.82,0.76,1,1,1.15137235046019
0.86,0.88,0.82,0.78,1,1,1.15811109648466
0.84,0.86,0.92,0.84,1,1,1.20961999427716
0.84,0.86,0.78,0.84,1,1,1.07564112186358
0.92,0.78,0.8,0.82,0.96,1,1.272403490525
0.84,0.82,0.86,0.8,1,0.96,1.21152622544909
0.84,0.84,0.84,0.84,1,1,1.15199019448869
0.88,0.82,0.86,0.86,1,1,1.20701416236168
0.8,0.78,0.86,0.88,0.96,1,1.1793013955746
0.8,0.88,0.94,0.86,1,1,1.16218574693538
0.88,0.88,0.86,0.86,1,0.96,1.13690128599239
0.88,0.84,0.92,0.82,1,1,1.27972960146927
0.82,0.86,0.9,0.82,1,1,1.19092306091816
0.8,0.78,0.88,0.9,1,1,1.16869401883511
0.94,0.98,0.92,0.9,1,1,1.13087195657532
0.84,0.82,0.82,0.84,1,1,1.15177276585425
0.86,0.72,0.84,0.8,1,1,1.3395032863118
0.74,0.88,0.9,0.92,0.96,0.96,1.03938404222695
0.86,0.84,0.88,0.7,1,1,1.3368132198271
0.82,0.76,0.88,0.8,1,1,1.29755224910487
0.78,0.88,0.86,0.72,1,1,1.18214004720692
0.9,0.86,0.94,0.8,1,0.96,1.29707375040525
0.74,0.78,0.8,0.78,1,1,1.13701967728956
0.8,0.84,0.76,0.88,1,0.96,1.00277329649374
0.84,0.82,0.84,0.8,1,1,1.20558453857931
0.9,0.86,0.96,0.78,0.96,1,1.36458145459637
0.8,0.84,0.82,0.88,1,1,1.07067524376874
0.76,0.84,0.82,0.86,1,1,1.05362095658427
0.82,0.82,0.98,0.9,0.96,0.96,1.24072125598501
0.84,0.82,0.78,0.88,1,1,1.0816676946082
0.84,0.82,0.94,0.88,1,1,1.23564429527827
0.82,0.82,0.76,0.74,1,1,1.15773416784353
0.84,0.8,0.88,0.9,1,0.96,1.16803301453507
0.88,0.82,0.84,0.78,1,0.96,1.242474492748
0.88,0.84,0.84,0.9,1,1,1.13681840476682
0.86,0.88,0.82,0.86,1,1,1.0967414166541
0.8,0.8,0.86,0.76,1,1,1.25048485752648
0.84,0.76,0.88,0.84,1,1,1.27619259350117
0.84,0.82,0.96,0.76,0.96,1,1.38215957252678
0.88,0.86,0.9,0.9,0.96,1,1.1868986467951
0.84,0.86,0.86,0.86,1,1,1.13668891625659
0.88,0.88,0.88,0.84,0.96,1,1.19668503442802
0.86,0.9,0.88,0.8,1,1,1.18057144523164
0.8,0.82,0.86,0.68,1,1,1.30609288034029
0.84,0.86,0.78,0.9,0.96,1,1.04620206425287
0.84,0.74,0.88,0.7,1,1,1.45348528404903
0.9,0.84,0.82,0.76,0.96,1,1.26454240651581
0.9,0.84,0.9,0.82,1,1,1.27629521125943
0.88,0.8,0.86,0.88,1,1,1.21045228733718
0.86,0.78,0.86,0.74,1,1,1.3486774088059
0.86,0.78,0.84,0.88,1,1,1.19479199316055
0.84,0.94,0.94,0.84,1,1,1.1529767642489
0.84,0.84,0.84,0.8,0.96,1,1.19887201863046
