PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.84,0.88,0.86,0.88,1,1,1.66937324712464
0.92,0.94,0.88,0.82,1,1,1.82224841412361
0.94,0.84,0.96,0.94,1,1,1.94683274693787
0.88,0.82,0.94,0.82,1,1,2.10373497715356
0.88,0.86,0.98,0.84,1,1,2.07532424289341
0.92,0.84,0.92,0.92,1,1,1.87840610826922
0.86,0.86,0.92,0.82,1,1,1.95969589290141
0.88,0.8,0.96,0.78,1,1,2.28833699764093
0.92,0.86,0.9,0.92,1,1,1.80858522722163
0.92,0.82,0.88,0.78,1,1,2.11094071907665
0.82,0.76,1,0.92,1,1,2.05288902496222
0.92,0.9,0.98,0.88,1,1,1.97894345960225
0.86,0.86,0.94,0.84,1,1,1.96341258802868
0.92,0.82,0.92,0.88,1,1,1.98564795761626
0.92,0.88,0.98,0.92,1,1,1.93742733475998
0.9,0.86,0.92,0.86,1,1,1.93270236441884
0.86,0.88,0.96,0.84,1,1,1.97261852145747
0.94,0.86,0.92,0.88,1,1,1.94464396809255
0.88,0.82,0.9,0.88,1,0.96,1.84880934622146
0.9,0.9,0.92,0.92,1,1,1.76846742201895
0.9,0.82,0.88,0.9,1,1,1.83763849521285
0.86,0.88,0.9,0.88,1,1,1.77520740443958
0.96,0.92,0.92,0.88,1,1,1.87623708330762
0.96,0.82,0.9,0.84,1,1,2.07682136088422
0.82,0.82,0.96,0.82,1,1,2.06797613199345
0.84,0.84,0.98,0.88,1,1,1.97847038411368
0.94,0.92,0.9,0.94,1,1,1.71828164357683
0.84,0.74,0.98,0.88,1,0.96,2.10747271767013
0.9,0.94,0.92,0.96,1,1,1.65752002688223
0.86,0.78,0.9,0.88,1,1,1.93235207622437
0.92,0.86,0.94,0.8,1,1,2.12586993453597
0.96,0.96,0.98,0.88,1,1,1.9338273951202
0.84,0.78,0.96,0.9,1,1,1.99778913264616
0.92,0.88,0.96,0.94,1,1,1.8639772999927
0.96,0.9,0.94,0.86,1,1,1.9835264240066
0.88,0.88,0.96,0.74,1,1,2.21701760163734
0.9,0.92,0.92,0.92,1,1,1.74160005768201
0.98,0.84,0.94,0.86,1,1,2.11114333549502
0.94,0.86,0.94,0.86,1,1,2.02526733307043
0.84,0.88,0.98,0.86,1,1,1.95122621419248
0.94,0.9,0.94,0.84,1,0.96,1.95316958273545
0.9,0.82,0.9,0.92,1,1,1.84353841761691
0.96,0.78,0.94,0.92,1,1,2.06754568349631
0.94,0.84,0.96,0.84,1,1,2.14604277567292
0.92,0.86,0.92,0.88,0.96,1,1.96484924045738
0.88,0.86,0.96,0.88,1,1,1.95360602926075
0.96,0.84,0.96,0.92,1,1,2.00778156065011
0.94,0.78,0.96,0.94,1,1,2.0441880133131
0.94,0.86,0.96,0.86,1,1,2.06754910869926
0.78,0.82,0.92,0.9,1,0.96,1.73226706803383
0.98,0.86,0.98,0.86,1,1,2.16011407735085
0.98,0.84,1,0.9,1,1,2.15377750784341
0.96,0.86,0.96,0.84,1,1,2.13478113564207
0.88,0.88,0.94,0.9,1,1,1.84593048072403
0.92,0.76,0.94,0.9,1,1,2.09407528363004
0.9,0.82,0.96,0.9,1,1,2.00580469136255
0.92,0.82,0.98,0.84,1,1,2.20237425154722
0.88,0.82,0.98,0.92,1,1,1.98395310283155
0.88,0.74,0.92,0.9,1,1,2.03304855491251
0.96,0.8,0.94,0.88,1,1,2.11570372486603
0.9,0.82,0.92,0.9,1,1,1.9217215932877
0.88,0.8,0.96,0.84,1,1,2.14274883096338
0.94,0.9,0.98,0.9,1,1,1.96601308349828
0.9,0.78,0.94,0.92,1,1,1.99149051431513
0.94,0.86,0.96,0.92,1,1,1.95208425142323
0.94,0.88,0.96,0.76,1,1,2.25155287234705
0.94,0.84,0.96,0.86,1,1,2.10300470490359
0.92,0.84,0.92,0.88,1,1,1.95226630868403
0.96,0.92,0.92,0.96,1,1,1.74747238075871
0.9,0.94,0.96,0.84,1,1,1.92538377289348
0.94,0.8,0.98,0.86,1,1,2.22222779608233
0.88,0.78,0.96,0.86,1,1,2.13618426652594
0.92,0.84,1,0.88,1,1,2.12091158926559
0.9,0.82,0.98,0.92,1,1,2.00847119119972
0.92,0.92,0.94,0.88,1,1,1.86876118418242
0.92,0.88,1,0.88,1,1,2.05192003028822
0.94,0.84,0.96,0.9,1,1,2.02190753340438
0.92,0.96,0.94,0.88,1,1,1.81168515180206
0.82,0.82,0.96,0.96,1,1,1.79994847521831
0.88,0.9,0.9,0.9,1,1,1.73813120778264
0.94,0.86,0.98,0.96,1,1,1.92050283214477
0.9,0.88,0.88,0.9,1,1,1.74964680052376
0.92,0.94,0.94,0.9,1,1,1.80700889781086
0.88,0.84,0.92,0.8,1,1,2.06447985880684
0.9,0.9,0.94,0.82,1,1,1.98633410890688
0.9,0.72,0.92,0.88,1,1,2.14339831794051
0.92,0.84,0.94,0.86,1,1,2.03442511555564
0.96,0.84,0.88,0.92,1,1,1.84551664639838
0.92,0.82,0.98,0.78,1,0.96,2.29004770810647
0.96,0.92,0.96,0.94,1,1,1.85284949622166
0.92,0.88,0.94,0.82,1,1,2.04631834997213
