prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.1,0.01,1.2,0.6,0.571,100_100_50,0.7,0.3,0.666666666666667,0.2,0.6,0.333333333333333,0.571428571428571,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.6,0.498,100_100_50,0.7,0.3,1.33333333333333,0.4,0.8,0.5,0.571428571428572,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.6,0.969,300_300_150,0.7,0.3,0.666666666666667,0.2,0.6,0.333333333333333,0.571428571428571,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.6,0.928,300_300_150,0.7,0.3,1.33333333333333,0.4,0.8,0.5,0.571428571428572,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.8,0.197,100_100_50,0.7,0.4,0.5,0.2,0.5,0.4,0.5,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.8,0.154,100_100_50,0.7,0.4,1,0.4,0.7,0.571428571428572,0.5,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.8,0.456,300_300_150,0.7,0.4,0.5,0.2,0.5,0.4,0.5,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,0.8,0.345,300_300_150,0.7,0.4,1,0.4,0.7,0.571428571428572,0.5,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,1,0.0570000000000001,100_100_50,0.7,0.5,0.4,0.2,0.4,0.5,0.4,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,1,0.0659999999999999,100_100_50,0.7,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,1,0.037,300_300_150,0.7,0.5,0.4,0.2,0.4,0.5,0.4,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.1,0.01,1.2,1,0.04,300_300_150,0.7,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
