PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.92,0.8,0.88,0.88,1,1,1.96145358957678
0.88,0.8,0.98,0.88,1,1,2.0616612342412
0.9,0.9,0.96,0.86,1,0.96,1.91372849945056
0.94,0.88,0.9,0.88,1,1,1.91057766064158
0.9,0.9,0.94,0.94,1,1,1.78097398450906
0.88,0.76,0.94,0.86,1,1,2.10298210747102
0.96,0.9,0.94,0.82,1,0.96,2.05437691139101
0.92,0.94,0.94,0.96,1,1,1.73210480917421
0.88,0.88,0.9,0.9,1,1,1.78158221286197
0.92,0.86,0.92,0.86,1,1,1.97767461895632
0.96,0.76,0.92,0.92,1,1,2.07341858195097
0.96,0.86,0.92,0.94,1,1,1.89076513892446
0.98,0.9,0.96,0.94,1,1,1.9276245814196
0.94,0.9,0.98,0.86,1,1,2.04649799522453
0.96,0.76,0.94,0.94,1,1,2.0643523253106
0.94,0.82,0.96,0.84,1,1,2.18492029358471
0.98,0.94,0.98,0.96,1,1,1.872420573598
0.94,0.88,0.94,0.84,1,1,2.05326372950577
0.88,0.8,0.88,0.92,1,1,1.8196137803802
0.94,0.78,0.96,0.94,1,1,2.03397535342259
0.96,0.9,0.98,0.88,1,1,2.03833380483287
0.94,0.86,0.94,0.9,1,1,1.96385073963442
0.92,0.86,0.94,0.98,1,1,1.79386048054878
0.98,0.88,0.96,0.92,1,1,1.99057811290221
0.92,0.86,0.94,0.86,1,1,2.01024411922836
0.94,0.82,0.96,0.94,1,1,1.97582672054659
0.96,0.78,0.96,0.94,1,1,2.06589503138252
0.94,0.9,0.9,0.78,1,1,2.08261161106577
0.94,0.82,0.9,0.84,1,1,2.08205481093963
0.96,0.84,0.9,0.84,1,1,2.08341074673906
0.94,0.86,0.94,0.8,1,1,2.17392818973114
0.98,0.82,0.86,0.88,1,1,1.99749994656271
0.86,0.82,0.94,0.88,1,1,1.93170795587893
0.84,0.8,0.92,0.88,1,1,1.89464849313382
0.9,0.8,0.94,0.88,1,1,2.02825868601973
0.98,0.84,0.98,0.9,1,1,2.11968901113086
0.9,0.88,0.96,0.88,1,1,1.94204216903015
0.92,0.9,0.9,0.88,1,1,1.85224599163749
0.94,0.9,0.86,0.86,1,1,1.85677812283733
0.9,0.86,0.96,0.9,1,1,1.93254018022352
1,0.86,1,0.96,1,1,2.0337928115182
0.9,0.82,0.88,0.86,1,1,1.93816767392836
0.98,0.92,0.9,0.88,1,1,1.9178686201733
0.88,0.88,0.92,0.88,1,1,1.84764864386445
0.92,0.84,0.96,0.86,1,1,2.07395315973524
0.88,0.86,0.94,0.8,1,1,2.0699484324626
0.96,0.9,0.92,0.84,1,1,2.02273780437828
0.94,0.76,0.92,0.92,0.96,1,2.08172039794773
0.96,0.88,0.82,0.78,1,0.96,1.96854610776562
0.88,0.9,0.94,0.86,1,1,1.88839810156853
0.98,0.88,1,0.96,1,1,1.97722260377594
1,0.84,0.98,0.92,1,1,2.11007937846259
0.92,0.8,0.94,0.9,1,1,2.02001200564211
0.92,0.9,0.92,0.8,1,1,2.0394350711686
1,0.88,0.96,0.84,1,1,2.18420817389038
0.98,0.92,0.98,0.88,1,1,2.04017840301436
1,0.82,0.94,0.8,1,1,2.35310503282211
0.88,0.78,0.96,0.84,1,1,2.15002590479674
0.96,0.86,0.96,0.94,1,1,1.95105578425667
0.92,0.78,0.9,0.86,1,1,2.06938917428447
0.98,0.9,0.96,0.9,1,1,2.00004430355192
0.94,0.96,0.9,0.96,1,1,1.68227777605609
0.96,0.8,0.94,0.88,1,1,2.12846633068416
0.98,0.86,0.98,0.96,1,1,1.97460354397571
0.98,0.76,0.94,0.88,1,1,2.23056408942296
0.88,0.88,0.92,0.92,1,1,1.77856211156296
0.98,0.74,0.94,0.94,1,1,2.12853796009542
0.94,0.82,0.98,0.9,1,1,2.08671193001056
0.9,0.82,0.98,0.9,0.96,1,2.0625674727106
0.92,0.92,0.96,0.82,1,1,2.03298301103006
0.94,0.82,0.98,0.86,1,1,2.17321237171257
1,0.84,0.92,0.86,1,1,2.14008510379062
0.96,0.82,0.94,0.92,1,1,2.0143813716892
0.96,0.78,0.9,0.76,1,1,2.39479788800827
0.92,0.88,0.96,0.94,1,1,1.8648492668025
1,0.7,0.96,0.96,1,1,2.21652710147688
0.9,0.78,0.9,0.96,1,1,1.83815973934189
1,0.88,0.88,0.9,1,1,1.93590744725466
0.96,0.84,0.92,0.92,1,1,1.95428883058359
0.94,0.88,0.94,0.86,1,1,2.01259534127558
0.84,0.8,0.94,0.94,1,1,1.81573866705856
0.94,0.78,0.98,0.92,1,1,2.10741743460423
0.94,0.88,0.9,0.86,1,0.96,1.9100240402278
0.98,0.84,0.94,0.84,1,1,2.1846755327921
0.98,0.92,0.92,0.94,1,1,1.84403079039633
0.94,0.78,0.96,0.86,1,1,2.20799139300753
0.98,0.94,0.9,1,1,1,1.70122897854168
0.92,0.96,0.9,0.92,1,1,1.71316759312564
0.88,0.84,0.96,0.94,1,1,1.85627115541571
0.96,0.82,0.96,0.88,1,1,2.12908392793028
0.94,0.86,0.88,0.94,1,1,1.80032917092614
0.98,0.9,0.86,0.8,1,1,2.0394350711686
0.98,0.88,0.96,0.92,1,1,1.99057811290221
0.94,0.84,0.98,0.92,1,1,2.01660504973519
0.94,0.84,0.96,0.88,1,1,2.06487391956759
1,0.8,1,0.94,1,1,2.16176336656821
0.94,0.82,0.96,0.96,1,1,1.93872020135567
0.88,0.8,0.94,0.9,1,1,1.95455649112229
0.92,0.84,0.94,0.88,1,1,2.00006476597627
0.98,0.86,0.96,0.84,1,1,2.18443827275752
0.98,0.84,0.94,0.96,1,1,1.94190804809877
0.92,0.76,0.94,0.88,1,1,2.12717226216872
0.88,0.86,0.94,0.86,1,1,1.94510511868429
0.96,0.84,0.88,0.86,1,1,2.00782121567985
0.94,0.8,0.92,0.9,1,1,2.02001200564211
0.98,0.86,1,0.82,1,1,2.29806203119004
0.92,0.82,0.98,0.86,1,1,2.1396345577434
0.96,0.92,1,0.88,1,1,2.04017840301436
0.94,0.88,0.96,0.94,1,1,1.8945814010132
1,0.78,0.96,0.88,1,1,2.26352919773103
0.98,0.82,0.94,0.88,1,1,2.12908392793028
0.92,0.88,0.9,0.94,1,1,1.77565286417041
0.9,0.74,1,0.88,1,1,2.23155491866435
0.98,0.86,0.96,0.96,0.96,1,1.98203573282872
0.98,0.76,0.96,0.88,1,1,2.26502803184104
0.96,0.84,0.94,0.82,1,1,2.19669045198147
0.92,0.76,1,0.88,0.96,1,2.27368306473147
0.98,0.86,0.86,0.86,1,0.96,1.93812880023543
0.9,0.76,0.94,0.9,1,1,2.04911649812286
0.98,0.84,0.98,0.84,1,1,2.25218539016079
0.96,0.84,0.96,0.82,1,0.96,2.18399642075452
0.92,0.78,0.96,0.82,1,1,2.27046526327762
0.96,0.86,0.96,0.84,1,1,2.15120055834964
0.94,0.76,0.96,0.86,1,1,2.24383429209268
0.94,0.88,0.86,0.88,1,1,1.84764864386445
0.88,0.74,0.98,0.82,1,1,2.31141098897579
0.96,0.86,0.98,0.94,1,1,1.98120110692278
0.92,0.86,0.92,0.88,1,1,1.93869883527367
0.9,0.94,0.98,0.9,1,1,1.85665344537226
0.94,0.8,0.98,0.9,1,1,2.11819527742186
0.9,0.86,0.9,0.96,1,1,1.73784647380575
0.92,0.82,0.86,0.76,1,1,2.16224662492648
0.96,0.92,1,0.92,1,1,1.96596532163978
0.98,0.9,0.96,0.88,1,1,2.03833380483287
0.98,0.92,0.94,0.92,1,1,1.90703498711425
0.94,0.82,0.96,0.84,1,1,2.18492029358471
0.98,0.86,0.96,0.82,0.96,1,2.27265003663259
0.98,0.88,0.94,0.88,1,1,2.03643569419586
0.96,0.86,0.9,0.88,1,1,1.97062645958437
0.96,0.88,0.98,0.92,1,1,1.99057811290221
0.98,0.92,0.98,0.84,1,1,2.12021421458572
0.9,0.86,0.94,0.86,1,1,1.97767461895632
0.96,0.86,0.9,0.9,1,1,1.93254018022352
0.92,0.92,0.96,0.9,1,1,1.88234045399725
0.98,0.78,0.94,0.9,1,1,2.15064319020813
0.94,0.88,0.96,0.94,1,1,1.8945814010132
0.96,0.88,0.94,0.9,1,1,1.9667724941332
0.98,0.8,1,0.9,1,1,2.2163785492016
0.92,0.86,0.9,0.96,1,1,1.767441107577
0.92,0.82,0.86,0.84,1,1,1.97918932829454
0.94,0.82,0.96,0.9,1,1,2.05447061484727
0.94,0.82,0.94,0.96,1,1,1.90829538604139
0.92,0.9,0.94,0.82,1,1,2.03091687002855
0.94,0.84,0.96,0.86,1,1,2.10701913176293
0.88,0.82,0.92,0.92,1,1,1.85632044788154
0.98,0.86,0.88,0.94,1,1,1.86061981625836
0.98,0.8,0.9,0.9,1,1,2.05273976290203
0.94,0.94,0.84,0.84,1,1,1.80773927847137
0.94,0.84,1,0.86,1,1,2.17315107581831
0.88,0.82,0.9,0.92,1,1,1.82470826312
0.96,0.84,0.94,0.9,1,1,2.02438164649343
0.9,0.9,0.94,0.98,1,1,1.71874002556714
0.98,0.9,0.92,0.96,1,1,1.83572932692843
0.88,0.86,0.98,0.86,1,1,2.01024411922836
0.9,0.84,0.96,0.94,1,1,1.88684131256987
0.9,0.96,0.94,0.86,1,1,1.83957255228724
0.96,0.9,0.92,0.9,1,1,1.90874819938601
0.94,0.86,0.96,0.88,1,1,2.03448170820576
0.88,0.78,0.96,0.9,1,1,2.01772677965416
0.92,0.86,0.94,0.92,1,1,1.8958981737519
0.94,0.86,0.96,0.94,1,1,1.92091046159057
0.98,0.8,0.96,0.94,1,1,2.06739299397467
0.92,0.8,1,0.78,1,1,2.41035620553863
0.94,0.86,0.96,0.94,1,1,1.92091046159057
0.9,0.84,0.92,0.82,1,1,2.05879762710154
0.94,0.82,0.96,0.78,1,0.96,2.2807445959476
0.94,0.84,0.96,0.9,1,1,2.02438164649343
0.92,0.8,0.98,0.82,1,1,2.26880296175859
0.96,0.92,0.9,0.92,1,1,1.81863948532594
0.98,0.9,0.92,0.9,1,1,1.93918023410798
0.92,0.82,0.94,0.82,1,1,2.16210462383495
0.88,0.88,0.98,0.9,1,1,1.90504240037613
0.92,0.84,1,0.84,1,1,2.1846755327921
0.96,0.82,0.9,0.84,1,1,2.11634330515465
0.96,0.9,0.94,0.94,1,1,1.86896434265538
0.9,0.84,0.96,0.86,1,1,2.04088718770754
0.98,0.8,0.9,0.9,1,1,2.05273976290203
0.92,0.82,0.96,0.98,1,1,1.87311776665182
0.92,0.9,0.96,0.78,1,1,2.15120693891495
0.98,0.84,0.98,0.88,1,1,2.16208764995456
0.96,0.82,0.92,0.94,1,1,1.94481958345501
0.9,0.82,0.9,0.82,1,1,2.05701489896931
0.96,0.76,0.98,0.84,1,1,2.36568050595705
0.94,0.94,0.96,0.8,1,1,2.0759103038754
0.96,0.92,1,0.92,1,1,1.96596532163978
0.98,0.86,0.9,0.88,1,1,2.00255408389507
0.88,0.82,0.96,0.96,1,1,1.84744575541282
0.92,0.84,0.96,0.92,1,1,1.95428883058359
0.88,0.76,1,0.9,1,1,2.11660859182052
0.98,0.86,0.96,0.96,1,1,1.94500891020447
0.94,0.82,0.92,0.92,1,1,1.95115700216614
0.96,0.8,0.92,0.86,1,1,2.13916984400913
0.92,0.94,0.92,0.88,1,1,1.8309048500638
0.98,0.78,0.94,0.9,1,1,2.15064319020813
0.96,0.84,0.94,0.88,1,1,2.06487391956759
0.96,0.86,1,0.86,1,1,2.17309162058853
0.94,0.8,0.94,0.9,1,1,2.05273976290203
0.92,0.84,0.96,0.9,1,1,1.99261252494762
0.96,0.74,0.9,0.82,1,1,2.31141098897579
0.94,0.92,0.92,0.9,1,1,1.85232944988835
0.96,0.88,0.98,0.9,1,1,2.02850258789028
0.82,0.88,0.94,0.82,1,1,1.89514208046115
0.94,0.74,0.94,0.84,1,1,2.29579040886264
0.98,0.9,0.92,0.82,1,1,2.09672574062111
0.96,0.88,0.94,0.92,1,1,1.93000211251957
0.96,0.88,1,0.92,1,1,2.02086611309354
