PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.78,0.9,0.84,0.78,1.11034117677722
0.84,0.92,0.78,0.74,1.09809954587723
0.74,0.74,0.9,0.86,1.2316550437993
0.8,0.74,0.94,0.74,1.386058930354
0.84,0.84,0.84,0.76,1.20489747638554
0.86,0.9,0.86,0.8,1.15894481422942
0.8,0.84,0.9,0.78,1.22233172212054
0.84,0.8,0.82,0.86,1.16499052833071
0.74,0.8,0.9,0.78,1.22487130684163
0.8,0.92,0.84,0.84,1.07576936234559
0.8,0.82,0.86,0.78,1.20574211906638
0.82,0.92,0.9,0.74,1.18656831854199
0.74,0.88,0.86,0.88,1.07055734873729
0.78,0.94,0.9,0.74,1.1486830169767
0.82,0.86,0.88,0.78,1.19864629762029
0.94,0.86,0.86,0.74,1.27241219214954
0.84,0.88,0.88,0.84,1.15944177118387
0.8,0.84,0.94,0.84,1.22105191483567
0.82,0.9,0.86,0.8,1.13767131927903
0.82,0.74,0.86,0.82,1.26807584568441
0.86,0.84,0.86,0.76,1.23358551153758
0.66,0.86,0.92,0.82,1.12260584033238
0.7,0.78,0.9,0.7,1.27218887456697
0.78,0.84,0.92,0.76,1.24039704008123
0.76,0.88,0.88,0.78,1.1487844101098
0.86,0.88,0.84,0.78,1.16982643459785
0.86,0.88,0.9,0.86,1.17546189748365
0.78,0.86,0.84,0.68,1.20024910060497
0.78,0.84,0.94,0.78,1.24551441487947
0.7,0.88,0.92,0.78,1.14952223628184
0.82,0.84,0.84,0.72,1.21752284749495
0.9,0.92,0.82,0.8,1.13173240788063
0.92,0.86,0.98,0.78,1.33862260135426
0.84,0.82,0.82,0.84,1.15921647723155
0.84,0.84,0.88,0.74,1.25194202854158
0.86,0.88,0.98,0.74,1.31156589516096
0.86,0.8,0.84,0.76,1.25360619820608
0.8,0.88,0.74,0.82,1.03407451944585
0.88,0.9,0.92,0.84,1.19641969836195
0.78,0.8,0.98,0.7,1.37401123112472
0.84,0.9,0.92,0.76,1.21979461228449
0.68,0.84,0.88,0.8,1.12689102760731
0.8,0.76,0.78,0.76,1.20184140307873
0.82,0.94,0.94,0.78,1.18075892720574
0.82,0.92,0.88,0.88,1.09802399806145
0.68,0.8,0.86,0.72,1.19061560184114
0.72,0.84,0.94,0.78,1.21187980039733
0.8,0.86,0.86,0.86,1.12737388069872
0.88,0.8,0.76,0.76,1.19367570398043
0.76,0.78,0.94,0.82,1.26572108068985
0.88,0.78,0.84,0.86,1.22211894887655
0.76,0.86,0.92,0.78,1.19939486038287
0.82,0.9,0.86,0.76,1.15908974757917
0.74,0.84,0.88,0.82,1.14911836533782
0.76,0.84,0.96,0.78,1.25149999217858
0.84,0.74,0.94,0.82,1.35267422767931
0.76,0.86,0.82,0.72,1.14770369171139
0.84,0.78,0.88,0.8,1.27150204431085
0.8,0.9,0.88,0.76,1.1648753681408
0.8,0.74,0.84,0.78,1.26407001862952
0.7,0.78,0.88,0.74,1.22735361138207
0.86,0.78,0.88,0.74,1.32315587952135
0.78,0.78,0.88,0.78,1.24926499785744
0.7,0.82,0.94,0.78,1.21866369697738
0.8,0.88,0.8,0.68,1.15854382049996
0.82,0.82,0.84,0.76,1.21164340352845
0.82,0.9,0.8,0.68,1.15262166723701
0.78,0.84,0.9,0.82,1.18798160931392
0.8,0.84,0.88,0.78,1.20513460666072
0.82,0.8,0.9,0.72,1.31053577648901
0.78,0.84,0.9,0.9,1.14425923068601
0.8,0.82,0.94,0.68,1.34188115560624
0.82,0.74,0.86,0.82,1.26807584568441
0.84,0.9,0.84,0.78,1.14254899793196
0.92,0.86,0.86,0.78,1.23694138735071
0.74,0.82,0.96,0.64,1.35245688280276
0.84,0.86,0.86,0.72,1.22810582937719
0.78,0.88,0.86,0.64,1.22401859900835
0.8,0.86,0.86,0.78,1.1706510368735
0.86,0.92,0.9,0.7,1.23120472889628
0.82,0.78,0.88,0.82,1.24730727437746
0.8,0.92,0.84,0.66,1.16999804275792
0.8,0.86,0.82,0.78,1.13675729887232
0.8,0.84,0.88,0.82,1.18211038707963
0.78,0.86,0.84,0.74,1.16501686578382
0.8,0.86,0.92,0.8,1.20988054699746
0.88,0.82,0.94,0.7,1.37546331975485
0.8,0.84,0.86,0.74,1.21153481676044
0.78,0.94,0.86,0.74,1.11606192002644
0.76,0.9,0.8,0.84,1.03764049577263
0.86,0.84,0.9,0.76,1.26831798843809
0.78,0.96,0.74,0.88,0.943946716314772
0.84,0.8,0.82,0.72,1.249365146475
0.88,0.84,0.86,0.9,1.16472674024376
0.9,0.88,0.84,0.68,1.25076265315262
0.8,0.9,0.94,0.74,1.22628660639847
0.88,0.84,0.86,0.76,1.24490730823936
0.76,0.8,0.96,0.78,1.2895853965503
0.74,0.88,0.9,0.76,1.16562421386542
0.84,0.82,0.88,0.82,1.22180215712303
0.82,0.92,0.88,0.76,1.15916730321662
0.74,0.82,0.92,0.78,1.22396798375181
0.76,0.88,0.86,0.68,1.18828187099137
0.8,0.7,0.82,0.8,1.27270273395499
0.76,0.84,0.86,0.8,1.15427339861031
0.72,0.82,0.88,0.74,1.20142991582156
0.76,0.84,0.86,0.72,1.20059066067756
0.86,0.88,0.84,0.8,1.1588644488837
0.82,0.86,0.92,0.74,1.256660106441
0.8,0.92,0.86,0.64,1.19885200094719
0.8,0.78,0.9,0.72,1.31932224589371
0.82,0.88,0.84,0.7,1.19319343220152
0.78,0.92,0.84,0.8,1.08488370663477
0.82,0.82,0.88,0.86,1.18762010628461
0.82,0.86,0.78,0.72,1.14693293843338
0.76,0.88,0.9,0.8,1.15456687727055
0.74,0.92,0.94,0.82,1.13402150372948
0.9,0.86,0.9,0.72,1.2971320549876
0.9,0.78,0.94,0.86,1.31983839031978
0.76,0.9,0.92,0.72,1.19902002211084
0.78,0.86,0.82,0.78,1.12570890712611
0.72,0.8,0.84,0.78,1.16015721713295
0.88,0.82,0.84,0.84,1.19827233938878
0.84,0.78,0.82,0.74,1.25607477634898
0.84,0.88,0.92,0.74,1.24938825928638
0.9,0.84,0.9,0.74,1.30378348575378
0.78,0.64,0.96,0.72,1.53405732321389
0.86,0.8,0.96,0.72,1.38916986420117
0.74,0.86,0.88,0.86,1.11177440076056
0.76,0.88,0.88,0.84,1.11708408537256
0.84,0.88,0.88,0.8,1.1811711213784
0.76,0.84,0.86,0.78,1.16551441487947
0.8,0.88,0.82,0.78,1.12045285752662
0.72,0.7,0.9,0.76,1.32764833434398
0.68,0.8,0.9,0.68,1.25308657060081
0.82,0.78,0.9,0.92,1.20478425886797
0.76,0.8,0.9,0.7,1.28812939975281
0.78,0.84,0.92,0.7,1.27810516049349
0.8,0.92,0.9,0.76,1.16487150635447
0.9,0.86,0.84,0.8,1.1974542832774
0.88,0.8,0.98,0.8,1.36294508917742
0.8,0.92,0.9,0.82,1.13331720524615
0.84,0.82,0.92,0.78,1.28086585876638
0.78,0.86,0.92,0.8,1.19893717762088
0.92,0.84,0.84,0.78,1.23800960470537
0.7,0.88,0.86,0.74,1.12061110883967
0.86,0.88,0.92,0.76,1.248451046441
0.84,0.82,0.88,0.8,1.23376093732657
0.78,0.88,0.9,0.92,1.10332196711892
0.78,0.82,0.88,0.74,1.23625714512479
0.86,0.9,0.88,0.78,1.18622015268667
0.8,0.84,0.82,0.76,1.16488764453173
0.86,0.8,0.82,0.7,1.27446262561126
0.8,0.86,0.92,0.84,1.18730822584691
0.84,0.86,0.88,0.86,1.16497414981498
0.86,0.78,0.78,0.88,1.14774110210183
0.76,0.8,0.96,0.74,1.31599738921261
0.74,0.94,0.98,0.74,1.1926581167441
0.86,0.84,0.92,0.76,1.28568422688835
0.86,0.86,0.88,0.92,1.14389799635701
0.82,0.82,0.86,0.74,1.24166840789855
0.82,0.92,0.86,0.76,1.14277860166523
0.82,0.84,0.9,0.72,1.27066683940462
0.78,0.84,0.82,0.78,1.14233172212054
0.8,0.72,0.82,0.84,1.22636918185023
0.7,0.84,0.8,0.88,1.03012837150469
0.86,0.9,0.88,0.68,1.24423570698867
0.82,0.82,0.86,0.74,1.24166840789855
0.88,0.9,0.94,0.74,1.2700465336932
0.76,0.9,0.84,0.86,1.06006280507581
0.92,0.86,0.86,0.72,1.27360947759879
0.78,0.84,0.84,0.84,1.12661388428365
0.82,0.78,0.88,0.84,1.23497420855573
0.76,0.82,0.88,0.76,1.21242210208199
0.78,0.76,0.86,0.88,1.18906017145961
0.86,0.8,0.86,0.78,1.25874675043328
0.72,0.84,0.92,0.78,1.19468268493751
0.74,0.82,0.88,0.76,1.2009289219483
0.82,0.84,0.82,0.82,1.14250203921554
0.76,0.88,0.8,0.82,1.06188003354604
0.8,0.72,0.84,0.76,1.29842458157936
0.84,0.84,0.92,0.76,1.27436243018657
0.8,0.78,0.84,0.78,1.22500771748158
0.8,0.86,0.96,0.68,1.31866062115172
0.74,0.86,0.86,0.74,1.15976617054764
0.9,0.86,0.9,0.86,1.21321436874213
0.82,0.72,0.94,0.84,1.34798539184578
0.78,0.8,0.9,0.86,1.19981626945164
0.88,0.92,0.94,0.78,1.22898096566588
0.9,0.84,0.8,0.86,1.14769598977615
0.76,0.86,0.9,0.74,1.20558779087623
0.86,0.86,0.9,0.84,1.20305322282467
0.74,0.82,0.8,0.74,1.14181143187572
0.88,0.86,0.88,0.8,1.22008246920231
0.88,0.84,0.84,0.8,1.20386258248701
0.72,0.78,0.82,0.78,1.1600885570781
0.74,0.84,0.88,0.6,1.2840431273871
0.76,0.96,0.96,0.76,1.16002013678164
0.82,0.84,0.92,0.72,1.28838150337451
0.82,0.82,0.8,0.68,1.22531569117334
0.84,0.76,0.9,0.8,1.30934135259958
0.76,0.92,0.86,0.76,1.11072510642459
0.8,0.78,0.88,0.74,1.28723002896912
0.92,0.84,0.96,0.7,1.39555536457326
0.72,0.86,0.9,0.84,1.12787880367991
0.74,0.94,0.94,0.76,1.14942033983718
0.8,0.8,0.9,0.74,1.28532590101115
0.86,0.88,0.88,0.72,1.23837636252863
0.86,0.82,0.92,0.8,1.27959716741833
0.82,0.8,0.88,0.76,1.2660666974076
0.9,0.84,0.86,0.76,1.25622910494114
0.78,0.84,0.8,0.88,1.07289222223217
0.82,0.78,0.86,0.8,1.24207641189015
0.84,0.84,0.88,0.7,1.27731475422858
0.76,0.86,0.88,0.84,1.1328845979227
0.86,0.88,0.84,0.76,1.18099778501789
0.78,0.88,0.88,0.78,1.15967433543985
0.82,0.8,0.82,0.78,1.20020038994801
0.84,0.8,0.88,0.76,1.27773652934847
0.68,0.88,0.92,0.82,1.11749106174642
0.7,0.86,0.86,0.88,1.06433740518694
0.82,0.88,0.92,0.66,1.28796061830295
0.76,0.92,0.88,0.8,1.10657400430996
0.84,0.84,0.86,0.72,1.24678646172726
0.72,0.8,0.94,0.7,1.30098070825944
0.82,0.92,0.92,0.74,1.20311054533855
0.88,0.9,0.88,0.74,1.21970478900482
0.88,0.88,0.82,0.66,1.23405176579746
0.76,0.82,0.92,0.78,1.23534755875472
0.78,0.94,0.88,0.76,1.12200897502276
0.94,0.76,0.84,0.8,1.31403944210023
0.82,0.88,0.86,0.76,1.1758732613004
0.8,0.8,0.88,0.84,1.20551704108738
0.76,0.86,0.74,0.78,1.04687303937755
0.84,0.88,0.84,0.76,1.17000386548125
0.86,0.8,0.8,0.76,1.21780603512282
0.82,0.92,0.88,0.82,1.12776751884463
0.76,0.88,0.92,0.86,1.1390921921025
0.86,0.8,0.82,0.74,1.24836036235202
0.9,0.9,0.92,0.84,1.20686345910668
0.84,0.78,0.9,0.72,1.34352456583425
0.84,0.88,0.74,0.8,1.06534018729176
0.76,0.86,0.88,0.84,1.1328845979227
0.76,0.86,0.9,0.74,1.20558779087623
0.9,0.86,0.86,0.82,1.20280657812545
0.88,0.88,0.92,0.74,1.27158809747709
0.78,0.88,0.84,0.76,1.13702210687135
0.78,0.84,0.86,0.82,1.15424448368413
0.9,0.84,0.86,0.78,1.24399518200447
0.78,0.88,0.84,0.82,1.10535507861011
0.76,0.84,0.94,0.76,1.24644148182971
0.78,0.74,0.88,0.72,1.33108985057749
0.74,0.9,0.86,0.7,1.14816574786794
0.78,0.9,0.9,0.68,1.21646465912937
0.78,0.88,0.92,0.8,1.18190203367013
0.8,0.84,0.9,0.78,1.22233172212054
0.82,0.8,0.8,0.8,1.17073167617807
0.74,0.84,0.8,0.7,1.1474081641024
0.9,0.88,0.74,0.78,1.10808727985248
0.74,0.88,0.84,0.74,1.1257850414373
0.78,0.9,0.92,0.8,1.16534419684928
0.8,0.94,0.86,0.74,1.12669546709301
0.8,0.86,0.9,0.8,1.19309476934672
0.72,0.86,0.88,0.76,1.15448379897903
0.7,0.84,0.88,0.8,1.13799443404417
0.72,0.88,0.88,0.78,1.12700455944971
0.82,0.88,0.84,0.86,1.10619162230694
0.82,0.8,0.82,0.76,1.21236645278271
0.78,0.82,0.86,0.86,1.14893561127092
0.86,0.88,0.92,0.78,1.23664163892221
0.82,0.78,0.78,0.86,1.13643499362274
0.86,0.92,0.88,0.76,1.18053630004371
0.94,0.88,0.9,0.68,1.3262228924809
0.76,0.86,0.92,0.74,1.22286629996042
0.86,0.9,0.82,0.78,1.13681733113198
0.86,0.76,0.94,0.82,1.34355025229574
0.94,0.88,0.84,0.74,1.23678423239085
0.96,0.84,0.88,0.82,1.27008911172446
0.82,0.88,0.9,0.92,1.12374923189699
0.66,0.76,0.84,0.84,1.12586707634916
0.82,0.9,0.86,0.84,1.11703009706729
0.76,0.78,0.86,0.76,1.23209458844929
0.8,0.86,0.9,0.78,1.20454477487468
0.7,0.86,0.92,0.78,1.16624968514427
0.78,0.78,0.82,0.78,1.1952822372218
0.78,0.86,0.88,0.68,1.23585118602912
0.78,0.84,0.94,0.78,1.24551441487947
0.82,0.88,0.9,0.82,1.17591151099134
0.78,0.86,0.9,0.72,1.22887658265519
0.68,0.86,0.9,0.82,1.1168184451291
0.88,0.86,0.82,0.86,1.13729294095327
0.88,0.86,0.84,0.68,1.25827542197649
0.86,0.82,0.92,0.8,1.27959716741833
0.76,0.8,0.86,0.76,1.21315712004335
0.8,0.8,0.96,0.74,1.33957606286944
0.82,0.92,0.84,0.68,1.16981730332751
0.82,0.9,0.88,0.78,1.16474827191684
0.76,0.78,0.92,0.78,1.2735222782333
0.78,0.76,0.9,0.82,1.26104351735124
0.82,0.86,0.88,0.74,1.2221030882726
0.84,0.9,0.88,0.82,1.1539616899344
0.7,0.9,0.86,0.76,1.09406774304853
0.84,0.88,0.86,0.78,1.17564031034889
0.76,0.76,0.84,0.66,1.30120611772747
0.94,0.78,0.8,0.64,1.36877255356897
0.86,0.82,0.92,0.78,1.29224543376929
0.88,0.92,0.88,0.7,1.22533715835632
0.84,0.88,0.88,0.76,1.20373049619281
0.78,0.84,0.8,0.76,1.13619960937969
0.72,0.82,0.8,0.84,1.07595322795282
0.8,0.72,0.76,0.8,1.19629220550735
0.78,0.8,0.88,0.76,1.24272703352585
0.86,0.86,0.84,0.8,1.17556754452424
0.82,0.76,0.96,0.78,1.36580756322247
0.84,0.74,0.88,0.82,1.2981174223213
0.8,0.72,0.88,0.82,1.29462138352605
0.68,0.86,0.92,0.86,1.11249529031689
0.76,0.84,0.9,0.74,1.22374376773639
0.82,0.8,0.88,0.8,1.2409092650044
0.8,0.92,0.82,0.72,1.12010771131084
0.9,0.88,0.92,0.82,1.23505608701928
0.84,0.9,0.88,0.68,1.23297469414485
0.8,0.9,0.92,0.8,1.17598094432448
0.84,0.78,0.94,0.84,1.298738904946
0.82,0.92,0.86,0.78,1.13227021818261
0.82,0.88,0.82,0.72,1.16438541248353
0.86,0.9,0.8,0.78,1.12034972394708
0.74,0.82,0.98,0.68,1.34269224332231
0.76,0.92,0.92,0.8,1.13875409290941
0.8,0.76,0.92,0.76,1.33111590881144
0.8,0.82,0.88,0.82,1.19948421361727
0.84,0.9,0.88,0.86,1.13321312974392
0.82,0.9,0.9,0.78,1.18121587910174
0.8,0.86,0.78,0.8,1.09238010344226
0.86,0.84,0.84,0.82,1.18136528319165
0.9,0.9,0.84,0.8,1.16390285167294
0.86,0.8,0.96,0.8,1.33396274592414
0.84,0.94,0.9,0.8,1.14875213405735
0.76,0.88,0.84,0.86,1.07471290619162
