Power,combination
0.655,0.05_0.01_1.2_0.3_0.5_100_100_50_0
0.542,0.05_0.01_1.2_0.3_0.5_100_100_50_0.2
0.501,0.05_0.01_1.2_0.3_0.5_100_100_50_0.4
0.983,0.05_0.01_1.2_0.3_0.5_300_300_150_0
0.964,0.05_0.01_1.2_0.3_0.5_300_300_150_0.2
0.946,0.05_0.01_1.2_0.3_0.5_300_300_150_0.4
0.231,0.05_0.01_1.2_0.4_0.5_100_100_50_0
0.184,0.05_0.01_1.2_0.4_0.5_100_100_50_0.2
0.146,0.05_0.01_1.2_0.4_0.5_100_100_50_0.4
0.555,0.05_0.01_1.2_0.4_0.5_300_300_150_0
0.399,0.05_0.01_1.2_0.4_0.5_300_300_150_0.2
0.353,0.05_0.01_1.2_0.4_0.5_300_300_150_0.4
0.0620000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0
0.0510000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0.2
0.046,0.05_0.01_1.2_0.5_0.5_100_100_50_0.4
0.039,0.05_0.01_1.2_0.5_0.5_300_300_150_0
0.036,0.05_0.01_1.2_0.5_0.5_300_300_150_0.2
0.03,0.05_0.01_1.2_0.5_0.5_300_300_150_0.4
0.236,0.05_0.01_1.2_0.6_0.5_100_100_50_0
0.172,0.05_0.01_1.2_0.6_0.5_100_100_50_0.2
0.155,0.05_0.01_1.2_0.6_0.5_100_100_50_0.4
0.589,0.05_0.01_1.2_0.6_0.5_300_300_150_0
0.379,0.05_0.01_1.2_0.6_0.5_300_300_150_0.2
0.34,0.05_0.01_1.2_0.6_0.5_300_300_150_0.4
0.794,0.05_0.01_1.2_0.7_0.5_100_100_50_0
0.515,0.05_0.01_1.2_0.7_0.5_100_100_50_0.2
0.38,0.05_0.01_1.2_0.7_0.5_100_100_50_0.4
1,0.05_0.01_1.2_0.7_0.5_300_300_150_0
0.926,0.05_0.01_1.2_0.7_0.5_300_300_150_0.2
0.827,0.05_0.01_1.2_0.7_0.5_300_300_150_0.4
0.761,0.05_0.01_2_0.3_0.5_100_100_50_0
0.646,0.05_0.01_2_0.3_0.5_100_100_50_0.2
0.579,0.05_0.01_2_0.3_0.5_100_100_50_0.4
0.998,0.05_0.01_2_0.3_0.5_300_300_150_0
0.985,0.05_0.01_2_0.3_0.5_300_300_150_0.2
0.968,0.05_0.01_2_0.3_0.5_300_300_150_0.4
0.262,0.05_0.01_2_0.4_0.5_100_100_50_0
0.2,0.05_0.01_2_0.4_0.5_100_100_50_0.2
0.168,0.05_0.01_2_0.4_0.5_100_100_50_0.4
0.63,0.05_0.01_2_0.4_0.5_300_300_150_0
0.527,0.05_0.01_2_0.4_0.5_300_300_150_0.2
0.455,0.05_0.01_2_0.4_0.5_300_300_150_0.4
0.0540000000000001,0.05_0.01_2_0.5_0.5_100_100_50_0
0.0620000000000001,0.05_0.01_2_0.5_0.5_100_100_50_0.2
0.0570000000000001,0.05_0.01_2_0.5_0.5_100_100_50_0.4
0.0510000000000001,0.05_0.01_2_0.5_0.5_300_300_150_0
0.041,0.05_0.01_2_0.5_0.5_300_300_150_0.2
0.0520000000000001,0.05_0.01_2_0.5_0.5_300_300_150_0.4
0.275,0.05_0.01_2_0.6_0.5_100_100_50_0
0.198,0.05_0.01_2_0.6_0.5_100_100_50_0.2
0.163,0.05_0.01_2_0.6_0.5_100_100_50_0.4
0.676,0.05_0.01_2_0.6_0.5_300_300_150_0
0.514,0.05_0.01_2_0.6_0.5_300_300_150_0.2
0.353,0.05_0.01_2_0.6_0.5_300_300_150_0.4
0.849,0.05_0.01_2_0.7_0.5_100_100_50_0
0.538,0.05_0.01_2_0.7_0.5_100_100_50_0.2
0.424,0.05_0.01_2_0.7_0.5_100_100_50_0.4
0.999,0.05_0.01_2_0.7_0.5_300_300_150_0
0.967,0.05_0.01_2_0.7_0.5_300_300_150_0.2
0.869,0.05_0.01_2_0.7_0.5_300_300_150_0.4
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0.2
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0.4
1,0.05_0.1_1.2_0.3_0.5_300_300_150_0
